COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS00796-3;Vão entre Pórtico Inicial e T001;;PORT00135-4;-19.600438;-43.331267;0;0;Pórtico ITABIRA 5;ESTC12509-6;;;0;0;0;ESTRUTURA 001;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.600825265;-43.33098853;0;104.037252955;0;0;0;0;2387200;1;
VLTS00797-1;Vão entre T001 e T002;;ESTC12509-6;-19.601213;-43.33071;0;0;ESTRUTURA 001;ESTC12510-4;;;0;0;1;ESTRUTURA 002;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.60162464;-43.330345715;0;119.233775247;0;0;0;0;2387201;1;
VLTS00798-9;Vão entre T002 e T003;;ESTC12510-4;-19.602036;-43.329981;0;0;ESTRUTURA 002;ESTC12511-2;;;0;0;2;ESTRUTURA 003;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.602992515;-43.32840279;0;393.920387589;0;0;0;0;2387202;1;
VLTS00799-7;Vão entre T003 e T004;;ESTC12511-2;-19.603949;-43.326824;0;0;ESTRUTURA 003;ESTC12512-0;;;0;0;3;ESTRUTURA 004;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.603656715;-43.32599631;0;185.726305076;0;0;0;0;2387203;1;
VLTS00800-3;Vão entre T004 e T005;;ESTC12512-0;-19.603365;-43.325168;0;0;ESTRUTURA 004;ESTC12513-8;;;0;0;4;ESTRUTURA 005;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.602391525;-43.322407795;0;619.33600799;0;0;0;0;2387204;1;
VLTS00801-1;Vão entre T005 e T006;;ESTC12513-8;-19.601418;-43.319647;0;0;ESTRUTURA 005;ESTC12514-6;;;0;0;5;ESTRUTURA 006;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.60088425;-43.31813284;0;339.732126729;0;0;0;0;2387205;1;
VLTS00802-9;Vão entre T006 e T007;;ESTC12514-6;-19.60035;-43.316619;0;0;ESTRUTURA 006;ESTC12515-3;;;0;0;6;ESTRUTURA 007;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.59989194;-43.315318665;0;291.624322756;0;0;0;0;2387206;1;
VLTS00803-7;Vão entre T007 e T008;;ESTC12515-3;-19.599434;-43.314019;0;0;ESTRUTURA 007;ESTC12516-1;;;0;0;7;ESTRUTURA 008;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.598483715;-43.311325305;0;604.292897783;0;0;0;0;2387207;1;
VLTS00804-5;Vão entre T008 e T009;;ESTC12516-1;-19.597534;-43.308632;0;0;ESTRUTURA 008;ESTC12517-9;;;0;0;8;ESTRUTURA 009;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.59717152;-43.307604465;0;230.491001851;0;0;0;0;2387208;1;
VLTS00805-2;Vão entre T009 e T010;;ESTC12517-9;-19.596809;-43.306577;0;0;ESTRUTURA 009;ESTC12518-7;;;0;0;9;ESTRUTURA 010;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.596251605;-43.30499615;0;354.700724072;0;0;0;0;2387209;1;
VLTS00806-0;Vão entre T010 e T011;;ESTC12518-7;-19.595694;-43.303415;0;0;ESTRUTURA 010;ESTC12519-5;;;0;0;10;ESTRUTURA 011;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.59649702;-43.30138257;0;463.0377512;0;0;0;0;2387210;1;
VLTS00807-8;Vão entre T011 e T012;;ESTC12519-5;-19.5973;-43.29935;0;0;ESTRUTURA 011;ESTC12520-3;;;0;0;11;ESTRUTURA 012;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.598106865;-43.29730746;0;465.279261305;0;0;0;0;2387211;1;
VLTS00808-6;Vão entre T012 e T013;;ESTC12520-3;-19.598914;-43.295265;0;0;ESTRUTURA 012;ESTC12521-1;;;0;0;12;ESTRUTURA 013;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.59891997;-43.29395096;0;276.287846531;0;0;0;0;2387212;1;
VLTS00809-4;Vão entre T013 e T014;;ESTC12521-1;-19.598926;-43.292637;0;0;ESTRUTURA 013;ESTC12522-9;;;0;0;13;ESTRUTURA 014;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.598934595;-43.29087355;0;370.781508438;0;0;0;0;2387213;1;
VLTS00810-2;Vão entre T014 e T015;;ESTC12522-9;-19.598943;-43.28911;0;0;ESTRUTURA 014;ESTC12523-7;;;0;0;14;ESTRUTURA 015;MT-L-39611;LT Itabira 2 - Itabira 5 - 230 KV;0;0;-19.59894831;-43.28797924;0;237.78663275;0;0;0;0;2387214;1;
