COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS05755-4;Vão entre Pórtico inicial e T001;;PORT00036-4;-19.0229998946;-50.491123728;352.079;344.629;Pórtico São Simão;ESTR00736-9;;;367.407;359.947;0;ESTRUTURA 001;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0234067057;-50.4900960897;0;234.28351932;7.554095163;7.154152391;361.845;354.385;2395330;1;
VLTS05756-2;Vão entre T001 e T002;;ESTR00736-9;-19.0238135168;-50.4890684514;367.407;359.947;ESTRUTURA 001;ESTR00737-7;;;368.554;361.094;1;ESTRUTURA 002;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0251020861;-50.4884146772;0;316.62947234;2.416704909;1.740520224;369.162;361.702;2395331;1;
VLTS05757-0;Vão entre T002 e T003;;ESTR00737-7;-19.0263906553;-50.487760903;368.554;361.094;ESTRUTURA 002;ESTR00738-5;;;365.213;357.743;2;ESTRUTURA 003;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0283952308;-50.4867396081;0;492.955079758;3.400309823;3.035570707;358.137;350.677;2395332;1;
VLTS05758-8;Vão entre T003 e T003A;;ESTR00738-5;-19.0303998063;-50.4857183132;365.213;357.743;ESTRUTURA 003;ESTR00739-3;;;384.752;377.282;3;ESTRUTURA 003A;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0318951473;-50.4849567043;0;367.703415219;6.005383438;5.445149316;373.885;366.415;2395333;1;
VLTS05759-6;Vão entre T003A e T004;;ESTR00739-3;-19.0333904884;-50.4841950954;384.752;377.282;ESTRUTURA 003A;ESTR00740-1;;;404.02;396.55;4;ESTRUTURA 004;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0348607108;-50.4834460471;0;361.547083159;6.040153833;5.602589799;393.925;386.455;2395334;1;
VLTS05760-4;Vão entre T004 e T005;;ESTR00740-1;-19.0363309333;-50.4826969988;404.02;396.55;ESTRUTURA 004;ESTR00741-9;;;414.253;406.773;5;ESTRUTURA 005;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0377994735;-50.4819500242;0;361.020787283;4.548768541;3.022817628;409.861;402.391;2395335;1;
VLTS05761-2;Vão entre T005 e T006;;ESTR00741-9;-19.0392680138;-50.4812030497;414.253;406.773;ESTRUTURA 005;ESTR00742-7;;;416.053;408.573;6;ESTRUTURA 006;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0405135031;-50.4805644342;0;306.654465264;1.291355727;1.078086372;415.731;408.251;2395336;1;
VLTS05762-0;Vão entre T006 e T007;;ESTR00742-7;-19.0417589925;-50.4799258187;416.053;408.573;ESTRUTURA 006;ESTR00743-5;;;413.411;405.931;7;ESTRUTURA 007;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0432865418;-50.4790058663;0;389.569198907;1.213905004;0.993148332;414.639;407.159;2395337;1;
VLTS05763-8;Vão entre T007 e T008;;ESTR00743-5;-19.0448140911;-50.4780859138;413.411;405.931;ESTRUTURA 007;ESTR00744-3;;;414.238;406.758;8;ESTRUTURA 008;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.046165263;-50.4772699366;0;344.821766312;2.086295212;1.971163269;416.633;409.153;2395338;1;
VLTS05764-6;Vão entre T008 e T009;;ESTR00744-3;-19.0475164349;-50.4764539593;414.238;406.758;ESTRUTURA 008;ESTR00745-0;;;409.184;401.704;9;ESTRUTURA 009;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.049153264;-50.475467994;0;417.456438123;2.092912985;1.592980583;410.555;403.075;2395339;1;
VLTS05765-3;Vão entre T009 e T010;;ESTR00745-0;-19.0507900931;-50.4744820286;409.184;401.704;ESTRUTURA 009;ESTR00746-8;;;391.699;384.209;10;ESTRUTURA 010;MT-L-30105;LT São Simão - Água Vermelha 500 kV;40;40;-19.0523840885;-50.473521915;0;406.525146353;5.400157948;4.793553406;398.446;390.956;2395340;1;
