COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS01818-4;Vão entre Pórtico inicial e T001;;PORT00061-2;-20.0017160799;-43.991465231;1081.761963;1075.851963;Pórtico Barreiro;ESTR02869-6;-20.0019928662;-43.9918055413;1068.040039;1062.130039;0;ESTRUTURA 001;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-20.001854473;-43.9916353861;0;47.2747861834;60.30700944;49.43437507;1080.754028;1074.844028;2388881;1;
VLTS01819-2;Vão entre T001 e T002;;ESTR02869-6;-20.0019928662;-43.9918055413;1068.040039;1062.130039;ESTRUTURA 001;ESTR02870-4;-20.0021929998;-43.9917220712;1060.833008;1054.923008;1;ESTRUTURA 002;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-20.002092933;-43.9917638063;0;23.9647627504;135.8241143;80.20096382;1065.270996;1059.360996;2388882;1;
VLTS01822-6;Vão entre T004 e T005;;ESTR02872-0;-20.0018641147;-43.9889744376;1103.01001;1097.10001;ESTRUTURA 004;ESTR02873-8;-19.9998035224;-43.9857196383;1079.269043;1073.349043;4;ESTRUTURA 005;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-20.0008338186;-43.9873470379;0;412.512296654;21.71814697;7.308878949;1080.696045;1074.776045;2388883;1;
VLTS01821-8;Vão entre T003 e T004;;ESTR02871-2;-20.0021459411;-43.9902478496;1085.366943;1079.456943;ESTRUTURA 003;ESTR02872-0;-20.0018641147;-43.9889744376;1103.01001;1097.10001;3;ESTRUTURA 004;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-20.0020050279;-43.9896111436;0;137.720178333;19.11117645;14.44233873;1097.103027;1091.193027;2388884;1;
VLTS01820-0;Vão entre T002 e T003;;ESTR02870-4;-20.0021929998;-43.9917220712;1060.833008;1054.923008;ESTRUTURA 002;ESTR02871-2;-20.0021459411;-43.9902478496;1085.366943;1079.456943;2;ESTRUTURA 003;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-20.0021694704;-43.9909849604;0;155.327683005;29.69850833;50.84733059;1074.444946;1068.534946;2388885;1;
VLTS01823-4;Vão entre T005 e T006;;ESTR02873-8;-19.9998035224;-43.9857196383;1079.269043;1073.349043;ESTRUTURA 005;ESTR02874-6;-19.9985035968;-43.983651877;1093.790039;1087.860039;5;ESTRUTURA 006;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-19.9991535596;-43.9846857577;0;261.50423577;22.98245666;18.36682651;1068.885986;1062.955986;2388886;1;
VLTS01824-2;Vão entre T006 e T007;;ESTR02874-6;-19.9985035968;-43.983651877;1093.790039;1087.860039;ESTRUTURA 006;ESTR02875-3;-19.9955071383;-43.9788821909;1091.51001;1085.56001;6;ESTRUTURA 007;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-19.9970053675;-43.981267034;0;603.09154294;11.92852764;10.84910815;1043.449951;1037.509951;2388887;1;
VLTS01825-9;Vão entre T007 e T008;;ESTR02875-3;-19.9955071383;-43.9788821909;1091.51001;1085.56001;ESTRUTURA 007;ESTR02876-1;-19.993891259;-43.976344543;1099.353027;1093.393027;7;ESTRUTURA 008;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-19.9946991986;-43.977613367;0;322.213748366;24.77239682;23.69237448;1030.260986;1024.300986;2388888;1;
VLTS01826-7;Vão entre T008 e T009;;ESTR02876-1;-19.993891259;-43.976344543;1099.353027;1093.393027;ESTRUTURA 008;ESTR02877-9;-19.9897580922;-43.9697979155;1134.531982;1128.541982;8;ESTRUTURA 009;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-19.9918246756;-43.9730712293;0;829.063422385;17.21340963;15.71773571;1042.817017;1036.837017;2388889;1;
VLTS01835-8;Vão entre T018 e T019;;ESTR02738-3;-19.9910802484;-43.9316141953;1092.759033;1086.769033;ESTRUTURA 018;ESTR02739-1;-19.9892700957;-43.9280994916;1039.493042;1033.493042;17;ESTRUTURA 019;MT-L-30203;LT Barreiro - Taquaril 345 kV;35;35;-19.990175172;-43.9298568435;0;421.549819853;24.95670763;19.50421204;1023.426025;1017.426025;2388890;1;
