COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS00635-3;Vão entre Pórtico Inicial e T318;;PORT00004-2;-19.1200555072;-42.6672983843;355.0020142;343.7920142;Pórtico Inicial;ESTR02868-8;-19.1202063057;-42.6678465461;373.9349976;362.7249976;0;ESTRUTURA 318;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1201309065;-42.6675724652;0;60.5925899952;33.12008583;32.12285497;356.1080017;344.8980017;2386831;1;
VLTS00634-6;Vão entre T318 e T317;;ESTR02868-8;-19.1202063057;-42.6678465461;373.9349976;362.7249976;ESTRUTURA 318;ESTR02867-0;-19.1213858698;-42.6684843765;390.9309998;379.7209998;1;ESTRUTURA 317;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1207960878;-42.6681654613;0;148.151720388;34.60293869;27.04460428;357.2139893;346.0039893;2386832;1;
VLTS00633-8;Vão entre T317 e T316;;ESTR02867-0;-19.1213858698;-42.6684843765;390.9309998;379.7209998;ESTRUTURA 317;ESTR02866-2;-19.1255280854;-42.6696309841;394.3179932;383.1079932;2;ESTRUTURA 316;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1234569776;-42.6690576803;0;478.463474815;15.63682797;14.84151735;330.7669983;319.5569983;2386833;1;
VLTS00632-0;Vão entre T316 e T315;;ESTR02866-2;-19.1255280854;-42.6696309841;394.3179932;383.1079932;ESTRUTURA 316;ESTR02865-4;-19.1279071269;-42.6719234425;415.5360107;404.3260107;3;ESTRUTURA 315;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1267176062;-42.6707772133;0;360.375274269;14.50274896;12.43572511;385.0100098;373.8000098;2386834;1;
VLTS00631-2;Vão entre T315 e T314;;ESTR02865-4;-19.1279071269;-42.6719234425;415.5360107;404.3260107;ESTRUTURA 315;ESTR02864-7;-19.1323665894;-42.6762153968;392.0450134;380.8350134;4;ESTRUTURA 314;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1301368582;-42.6740694197;0;675.130699533;15.36549424;15.31110212;319.8599854;308.6499854;2386835;1;
VLTS00630-4;Vão entre T314 e T313;;ESTR02864-7;-19.1323665894;-42.6762153968;392.0450134;380.8350134;ESTRUTURA 314;ESTR02863-9;-19.1350446732;-42.6784611265;434.803009;423.593009;5;ESTRUTURA 313;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1337056313;-42.6773382616;0;382.546017308;22.0508236;21.90499988;357.8559875;346.6459875;2386836;1;
VLTS00629-6;Vão entre T313 e T312;;ESTR02863-9;-19.1350446732;-42.6784611265;434.803009;423.593009;ESTRUTURA 313;ESTR02862-1;-19.1380508642;-42.6809729379;411.8569946;400.6469946;6;ESTRUTURA 312;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1365477687;-42.6797170322;0;428.810126865;16.48753357;15.51734841;373.7120056;362.5020056;2386837;1;
VLTS00628-8;Vão entre T312 e T311;;ESTR02862-1;-19.1380508642;-42.6809729379;411.8569946;400.6469946;ESTRUTURA 312;ESTR02861-3;-19.1404696282;-42.6830001027;380.9460144;369.7360144;7;ESTRUTURA 311;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1392602462;-42.6819865203;0;345.42226522;15.46173269;15.06105325;364.3049927;353.0949927;2386838;1;
VLTS00627-0;Vão entre T311 e T310;;ESTR02861-3;-19.1404696282;-42.6830001027;380.9460144;369.7360144;ESTRUTURA 311;ESTR02860-5;-19.1440393862;-42.6873854081;430.2539978;419.0439978;8;ESTRUTURA 310;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1422545072;-42.6851927554;0;612.977407733;15.83385874;15.6957855;357.5580139;346.3480139;2386839;1;
VLTS00626-2;Vão entre T310 e T309;;ESTR02860-5;-19.1440393862;-42.6873854081;430.2539978;419.0439978;ESTRUTURA 310;ESTR02859-7;-19.1465867559;-42.690512681;449.5840149;438.3740149;9;ESTRUTURA 309;MT-L-39610;LT 230 KV Braúnas - Porto Estrela;38;38;-19.1453130711;-42.6889490445;0;437.243726068;13.33703168;11.78548868;409.6010132;398.3910132;2386840;1;
