COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS12628-4;Vão entre Pórtico inicial e T001A;;PORT00067-9;-18.2119659835;-45.2554892025;575.915;565.165;Pórtico Inicial;ESTR12060-0;;;577.178;566.428;0;ESTRUTURA 001A;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.211950141;-45.2552591237;0;48.7815395202;9.085404117;5.489781639;577.856;567.106;2391056;1;
VLTS12629-2;Vão entre T001A e T001B;;ESTR12060-0;-18.2119342985;-45.2550290448;577.178;566.428;ESTRUTURA 001A;ESTR12061-8;;;585.23;574.48;1;ESTRUTURA 001B;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2127518013;-45.2551305892;0;182.166382078;7.900469799;4.810437524;580.278;569.528;2391057;1;
VLTS12630-0;Vão entre T001B e T001C;;ESTR12061-8;-18.2135693041;-45.2552321336;585.23;574.48;ESTRUTURA 001B;ESTR12062-6;;;591.503;580.753;2;ESTRUTURA 001C;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2139529191;-45.2552765901;0;85.4050015533;9.271119789;7.628358857;587.566;576.816;2391058;1;
VLTS12631-8;Vão entre T001C e Pórtico Meio Linha;;ESTR12062-6;-18.2143365341;-45.2553210466;591.503;580.753;ESTRUTURA 001C;PORT00154-5;;;583.094;572.344;3;Portico Meio Linha;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2139781652;-45.2557039702;0;113.338823577;9.857169545;8.156075481;588.014;577.264;2391059;1;
VLTS12632-6;Vão entre Pórtico Meio Linha e T001;;PORT00154-5;-18.2136197964;-45.2560868938;583.094;572.344;Portico Meio Linha;ESTR04911-4;;;589.716;578.966;4;ESTRUTURA 001;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2139008189;-45.2555850551;0;123.000855624;9.000750396;6.615401136;587.655;576.905;2391060;1;
VLTS12633-4;Vão entre T001 e T002;;ESTR04911-4;-18.2141818425;-45.2550832175;589.716;578.966;ESTRUTURA 001;ESTR04912-2;;;588.351;577.601;5;ESTRUTURA 002;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2148040757;-45.253959226;0;274.689143833;5.801831036;3.45226603;587.195;576.445;2391061;1;
VLTS12634-2;Vão entre T002 e T003;;ESTR04912-2;-18.215426311;-45.2528352367;588.351;577.601;ESTRUTURA 002;ESTR04914-8;;;567.129;556.379;6;ESTRUTURA 003;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2162418627;-45.2513607643;0;360.261726637;8.983468853;6.844190814;572.374;561.624;2391062;1;
VLTS12635-9;Vão entre T003 e T004;;ESTR04914-8;-18.2170574163;-45.249886294;567.129;556.379;ESTRUTURA 003;ESTR04916-3;;;546.475;535.725;7;ESTRUTURA 004;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2179622611;-45.2482514815;0;399.502364711;6.591200034;5.409730182;551.136;540.386;2391063;1;
VLTS12636-7;Vão entre T004 e T005;;ESTR04916-3;-18.2188671079;-45.2466166708;546.475;535.725;ESTRUTURA 004;ESTR04918-9;;;545.807;535.057;8;ESTRUTURA 005;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2197734153;-45.2449756219;0;400.802770143;3.883955192;2.790898874;543.245;532.495;2391064;1;
VLTS12637-5;Vão entre T005 e T006;;ESTR04918-9;-18.2206797245;-45.2433345748;545.807;535.057;ESTRUTURA 005;ESTR04920-5;;;562.719;551.979;9;ESTRUTURA 006;MT-L-39526;LT Sete Lagoas 4 -T. Marias;50;50;-18.2214723161;-45.2419017724;0;350.08218235;7.51394996;5.233056957;554.653;543.903;2391065;1;
