COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS02183-2;Vão entre T029 e T030;;ESTR03961-0;-19.5364158057;-42.6150330214;296.772003;285.912003;ESTRUTURA 029;ESTR03962-8;;;254.332001;243.482001;6;ESTRUTURA 030;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5366865753;-42.6176838035;0;559.826924894;9.660486;9.640303;247.729996;236.869996;2388065;1;
VLTS02184-0;Vão entre T030 e T031;;ESTR03962-8;-19.5369573448;-42.6203345856;254.332001;243.482001;ESTRUTURA 030;ESTR03963-6;;;349.102997;338.252997;7;ESTRUTURA 031;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.537242081;-42.6231230848;0;588.905387261;17.44151;17.396345;258.520996;247.670996;2388066;1;
VLTS02185-7;Vão entre T031 e T032;;ESTR03963-6;-19.5375268172;-42.6259115841;349.102997;338.252997;ESTRUTURA 031;ESTR03964-4;;;329.588013;318.738013;8;ESTRUTURA 032;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5375356566;-42.6265897275;0;142.407000899;17.289887;16.463381;341.61499;330.76499;2388067;1;
VLTS02186-5;Vão entre T032 e T033;;ESTR03964-4;-19.5375444961;-42.6272678708;329.588013;318.738013;ESTRUTURA 032;ESTR03965-1;;;259.472992;248.632992;9;ESTRUTURA 033;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5375781966;-42.6300211935;0;578.177250307;17.342088;17.342088;238.235992;227.395992;2388068;1;
VLTS02187-3;Vão entre T033 e T034;;ESTR03965-1;-19.5376118972;-42.6327745162;259.472992;248.632992;ESTRUTURA 033;ESTR03966-9;;;261.256012;250.416012;10;ESTRUTURA 034;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5376232495;-42.6338037027;0;216.117515424;1.318264;1.31688;259.342011;248.502011;2388069;1;
VLTS02188-1;Vão entre T034 e T035;;ESTR03966-9;-19.5376346019;-42.6348328891;261.256012;250.416012;ESTRUTURA 034;ESTR03967-7;;;262.07901;251.24901;11;ESTRUTURA 035;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5378869192;-42.635267143;0;106.943952371;1.556898;1.542859;261.290008;250.460008;2388070;1;
VLTS02189-9;Vão entre T035 e T036;;ESTR03967-7;-19.5381392365;-42.6357013968;262.07901;251.24901;ESTRUTURA 035;ESTR03968-5;;;261.472992;250.642992;12;ESTRUTURA 036;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5380556867;-42.636021684;0;69.7511566998;2.037228;1.965562;261.498993;250.668993;2388071;1;
VLTS02190-7;Vão entre T036 e T037;;ESTR03968-5;-19.537972137;-42.6363419712;261.472992;250.642992;ESTRUTURA 036;ESTR03969-3;;;262.06601;251.23601;13;ESTRUTURA 037;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5370995805;-42.6367361843;0;210.232372924;0.96702;0.862853;261.265991;250.435991;2388072;1;
VLTS02191-5;Vão entre T037 e T038;;ESTR03969-3;-19.5362270239;-42.6371303974;262.06601;251.23601;ESTRUTURA 037;ESTR03970-1;;;263.494995;252.654995;14;ESTRUTURA 038;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5358305556;-42.6371876353;0;88.6272350438;3.744899;3.049856;263.584015;252.754015;2388073;1;
VLTS02192-3;Vão entre T038 e Pórtico final;;ESTR03970-1;-19.5354340872;-42.6372448733;263.494995;252.654995;ESTRUTURA 038;PORT00139-6;;;263.14801;252.30801;15;Pórtico Acesita;MT-L-39457;LT 230 KV Aperam - Timóteo 2;19;19;-19.5351572399;-42.6372903057;0;62.0529211643;2.631618;2.528487;263.80899;252.96899;2388074;1;
