COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS01473-8;Vão entre Pórtico inicial e T001;;PORT00145-3;-19.7035105625;-43.0472282886;659.656;650.246;Pórtico Nova Era 2;ESTR09747-7;;;640.457;631.047;0;ESTRUTURA 001;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.7032904154;-43.0472580095;0;49.1434208095;40.40422449;1.933142202;651.118;641.708;2386361;1;
VLTS01474-6;Vão entre T001 e T002;;ESTR09747-7;-19.7030702683;-43.0472877304;640.457;631.047;ESTRUTURA 001;ESTR09748-5;;;615.662;606.242;1;ESTRUTURA 002;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.7019463842;-43.0474329026;0;250.713820087;19.15848076;18.85137424;598.27;588.86;2386362;1;
VLTS01475-3;Vão entre T002 e T003;;ESTR09748-5;-19.7008225002;-43.0475780747;615.662;606.242;ESTRUTURA 002;ESTR09749-3;;;724.266;714.836;2;ESTRUTURA 003;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6968556499;-43.0480861887;0;884.808092447;17.31460077;17.11387917;611.22;601.8;2386363;1;
VLTS01476-1;Vão entre T003 e T004;;ESTR09749-3;-19.6928887995;-43.0485943027;724.266;714.836;ESTRUTURA 003;ESTR09750-1;;;736.945;727.515;3;ESTRUTURA 004;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6923074939;-43.048669391;0;129.676438427;19.03122604;16.76785527;724.34;714.91;2386364;1;
VLTS01477-9;Vão entre T004 e T005;;ESTR09750-1;-19.6917261882;-43.0487444793;736.945;727.515;ESTRUTURA 004;ESTR09751-9;;;720.313;710.873;4;ESTRUTURA 005;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6896877273;-43.0490057622;0;454.683984707;12.29447327;12.12490581;700.472;691.032;2386365;1;
VLTS01478-7;Vão entre T005 e T006;;ESTR09751-9;-19.6876492664;-43.0492670451;720.313;710.873;ESTRUTURA 005;ESTR09752-7;;;675.6;666.15;5;ESTRUTURA 006;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6848215351;-43.0496296403;0;630.736238442;17.66221294;17.64747516;627.57;618.13;2386366;1;
VLTS01479-5;Vão entre T006 e T007;;ESTR09752-7;-19.6819938039;-43.0499922355;675.6;666.15;ESTRUTURA 006;ESTR09753-5;;;741.712;732.262;6;ESTRUTURA 007;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6802343878;-43.0502178137;0;392.443591167;25.32669856;25.30859535;651.304;641.854;2386367;1;
VLTS01480-3;Vão entre T007 e T008;;ESTR09753-5;-19.6784749717;-43.0504433918;741.712;732.262;ESTRUTURA 007;ESTR09754-3;;;774.684;765.224;7;ESTRUTURA 008;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6768925522;-43.0501080033;0;357.380969073;21.3693514;21.22917142;731.197;721.737;2386368;1;
VLTS01481-1;Vão entre T008 e T009;;ESTR09754-3;-19.6753101328;-43.0497726149;774.684;765.224;ESTRUTURA 008;ESTR09755-0;;;760.298;750.818;8;ESTRUTURA 009;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6727377466;-43.0492271994;0;580.968804622;13.09484515;13.03994208;708.49;699.02;2386369;1;
VLTS01482-9;Vão entre T009 e T010;;ESTR09755-0;-19.6701653605;-43.0486817839;760.298;750.818;ESTRUTURA 009;ESTR09756-8;;;787.482;777.992;9;ESTRUTURA 010;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6671165218;-43.0480346494;0;688.604576479;11.71557872;11.73257024;729.578;720.098;2386370;1;
VLTS01483-7;Vão entre T010 e T011;;ESTR09756-8;-19.6640676832;-43.0473875148;787.482;777.992;ESTRUTURA 010;ESTR09757-6;;;843.463;833.963;10;ESTRUTURA 011;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6626118376;-43.0465161788;0;370.571924371;25.53864226;25.0464205;776.876;767.376;2386371;1;
VLTS01484-5;Vão entre T011 e T012;;ESTR09757-6;-19.661155992;-43.0456448427;843.463;833.963;ESTRUTURA 011;ESTR09758-4;;;942.176;932.656;11;ESTRUTURA 012;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6585646326;-43.044091958;0;659.811211535;20.80261645;0.359192914;807.652;798.142;2386372;1;
VLTS01485-2;Vão entre T012 e T013;;ESTR09758-4;-19.6559732732;-43.0425390733;942.176;932.656;ESTRUTURA 012;ESTR09759-2;;;956.83;947.31;12;ESTRUTURA 013;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.655557337;-43.0422897366;0;105.914913695;16.72191188;16.15261877;952.513;942.993;2386373;1;
VLTS01486-0;Vão entre T013 e T014;;ESTR09759-2;-19.6551414008;-43.0420403999;956.83;947.31;ESTRUTURA 013;ESTR09760-0;;;937.854;928.314;13;ESTRUTURA 014;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6522700316;-43.0416971277;0;639.86294864;13.14984582;12.92511203;890.691;881.161;2386374;1;
VLTS01487-8;Vão entre T014 e T015;;ESTR09760-0;-19.6493986623;-43.0413538555;937.854;928.314;ESTRUTURA 014;ESTR09875-6;;;1010.869;1001.319;14;ESTRUTURA 015;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.646551692;-43.0410140918;0;634.412014859;16.61917154;16.53090121;910.863;901.323;2386375;1;
VLTS01488-6;Vão entre T015 e T016;;ESTR09875-6;-19.6437047217;-43.040674328;1010.869;1001.319;ESTRUTURA 015;ESTR09876-4;;;974.539;964.989;15;ESTRUTURA 016;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6422250903;-43.0404984951;0;329.699918505;12.57143109;12.4291823;995.689;986.139;2386376;1;
VLTS01489-4;Vão entre T016 e T017;;ESTR09876-4;-19.6407454589;-43.0403226621;974.539;964.989;ESTRUTURA 016;ESTR09877-2;;;907.52;897.96;16;ESTRUTURA 017;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6393917866;-43.0395551955;0;340.550231301;21.14576831;20.70560934;940.384;930.824;2386377;1;
VLTS01490-2;Vão entre T017 e T018;;ESTR09877-2;-19.63804047;-43.0387890645;907.52;897.96;ESTRUTURA 017;ESTR09878-0;;;872.23;862.66;17;ESTRUTURA 018;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6361105263;-43.0376945508;0;483.926861014;10.69232691;10.21724019;883.978;874.408;2386378;1;
VLTS01491-0;Vão entre T018 e T019;;ESTR09878-0;-19.6341853583;-43.0366027455;872.23;862.66;ESTRUTURA 018;ESTR09879-8;;;789.458;779.868;18;ESTRUTURA 019;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6320670526;-43.0354065894;0;531.965355214;5.54979943;21.22507285;771.151;761.571;2386379;1;
VLTS01492-8;Vão entre T019 e T020;;ESTR09879-8;-19.6299487469;-43.0342104333;789.458;779.868;ESTRUTURA 019;ESTR09880-6;;;711.824;702.234;19;ESTRUTURA 020;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6278362716;-43.0345569052;0;473.373898694;20.03765472;19.80464074;711.16;701.57;2386380;1;
VLTS01493-6;Vão entre T020 e T021;;ESTR09880-6;-19.6257237964;-43.0349033771;711.824;702.234;ESTRUTURA 020;ESTR09881-4;;;803.656;794.056;20;ESTRUTURA 021;MT-L-30466;LT Nova Era 2 - Silicon 230 kV;19;19;-19.6221071377;-43.0354938351;0;810.351161306;24.76333625;24.74926659;655.753;646.163;2386381;1;
