COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS09158-7;Vão entre Pórtico inicial e T022B;;PORT00110-7;-20.3271996962;-43.7824662083;1000.043;995.113;Pórtico Inicial;ESTR12247-3;-20.3264843175;-43.7826551209;998.998;994.068;0;ESTRUTURA 022B;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3268420068;-43.7825606646;0;81.6021788726;15.69198296;8.401736442;1000.005;995.075;2389225;1;
VLTS09159-5;Vão entre T022B e T021B;;ESTR12247-3;-20.3264843175;-43.7826551209;998.998;994.068;ESTRUTURA 022B;ESTR12246-5;-20.3243044873;-43.7832476163;956.113;951.173;1;ESTRUTURA 021B;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3253944024;-43.7829513686;0;249.081410246;22.60947533;18.52085226;975.011;970.071;2389226;1;
VLTS09160-3;Vão entre T021B e T020B;;ESTR12246-5;-20.3243044873;-43.7832476163;956.113;951.173;ESTRUTURA 021B;ESTR12245-7;-20.3179410165;-43.7834648738;940.965;935.995;2;ESTRUTURA 020B;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3211227519;-43.7833562451;0;704.713047371;11.14084666;10.74962359;897.873;892.923;2389227;1;
VLTS09161-1;Vão entre T020B e T019B;;ESTR12245-7;-20.3179410165;-43.7834648738;940.965;935.995;ESTRUTURA 020B;ESTR12244-0;-20.3137351237;-43.781847303;978.589;973.599;3;ESTRUTURA 019B;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3158380701;-43.7826560884;0;495.226114543;22.75203118;21.38336346;892.485;887.505;2389228;1;
VLTS09162-9;Vão entre T019B e T018B;;ESTR12244-0;-20.3137351237;-43.781847303;978.589;973.599;ESTRUTURA 019B;ESTR12243-2;-20.3105486818;-43.7807149768;1041.896;1036.896;4;ESTRUTURA 018B;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3121419028;-43.7812811399;0;371.985569495;24.42514104;23.13906965;967.362;962.372;2389229;1;
VLTS09163-7;Vão entre T018B e T017E;;ESTR12243-2;-20.3105486818;-43.7807149768;1041.896;1036.896;ESTRUTURA 018B;ESTC08832-8;-20.3099060664;-43.7809565988;1034.282;1029.282;5;ESTRUTURA 017E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;32.5;32.5;-20.3102273741;-43.7808357878;0;75.4707333029;29.19012316;11.34214499;1044.357;1039.357;2389230;1;
VLTS09164-5;Vão entre T017E e T018E;;ESTC08832-8;-20.3099060664;-43.7809565988;1034.282;1029.282;ESTRUTURA 017E;ESTC08834-4;-20.3063307392;-43.7736811383;1085.675;1080.645;6;ESTRUTURA 018E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.3081184028;-43.7773188686;0;856.605294362;19.27398781;18.7561297;956.911;951.901;2389231;1;
VLTS09165-2;Vão entre T018E e T019E;;ESTC08834-4;-20.3063307392;-43.7736811383;1085.675;1080.645;ESTRUTURA 018E;ESTC08836-9;-20.3047341009;-43.7705188637;1114.058;1109.018;7;ESTRUTURA 019E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.30553242;-43.772100001;0;374.531441437;9.214179687;8.076758492;1094.958;1089.928;2389232;1;
VLTS09166-0;Vão entre T019E e T020E;;ESTC08836-9;-20.3047341009;-43.7705188637;1114.058;1109.018;ESTRUTURA 019E;ESTC08838-5;-20.3032191668;-43.7674224416;1123.578;1118.528;8;ESTRUTURA 020E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.3039766338;-43.7689706526;0;364.235233301;5.58155778;4.071544607;1111.618;1106.578;2389233;1;
VLTS09167-8;Vão entre T020E e T021E;;ESTC08838-5;-20.3032191668;-43.7674224416;1123.578;1118.528;ESTRUTURA 020E;ESTC08840-1;-20.3003738658;-43.7617248878;1067.868;1062.808;9;ESTRUTURA 021E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.3017965163;-43.7645736647;0;673.184203558;17.08893337;16.59872579;1041.719;1036.659;2389234;1;
VLTS09168-6;Vão entre T021E e T022E;;ESTC08840-1;-20.3003738658;-43.7617248878;1067.868;1062.808;ESTRUTURA 021E;ESTC08842-7;-20.2996472514;-43.7602466921;1073.613;1068.543;10;ESTRUTURA 022E;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.3000105586;-43.7609857899;0;174.059271873;16.04625809;9.25546788;1065.17;1060.1;2389235;1;
VLTS09169-4;Vão entre T022E e Pórtico final;;ESTC08842-7;-20.2996472514;-43.7602466921;1073.613;1068.543;ESTRUTURA 022E;PORT00084-4;-20.2987215394;-43.7589512888;1067.841;1062.771;11;Pórtico Final;MT-L-39482;LT Ouro Preto 2 - Itabirito 2 345 kV;25;25;-20.2991843954;-43.7595989905;0;169.701248637;11.38471293;6.446623162;1073.029;1067.959;2389236;1;
