COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS00844-1;Vão entre Pórtico Inicial e T001;;PORT00136-2;-19.600438;-43.331267;0;0;Pórtico Itabira 5;ESTR12509-6;;;0;0;0;ESTRUTURA 001;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.6008252653;-43.3309885306;0;104.036794486;0;0;0;0;2387519;1;
VLTS00845-8;Vão entre T001 e T002;;ESTR12509-6;-19.601213;-43.33071;0;0;ESTRUTURA 001;ESTR12510-4;;;0;0;1;ESTRUTURA 002;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.6016246403;-43.3303457139;0;119.234425233;0;0;0;0;2387520;1;
VLTS00846-6;Vão entre T002 e T003;;ESTR12510-4;-19.602036;-43.329981;0;0;ESTRUTURA 002;ESTR12511-2;;;0;0;2;ESTRUTURA 003;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.6029925181;-43.3284027889;0;393.92012604;0;0;0;0;2387521;1;
VLTS00847-4;Vão entre T003 e T004;;ESTR12511-2;-19.603949;-43.326824;0;0;ESTRUTURA 003;ESTR12512-0;;;0;0;3;ESTRUTURA 004;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.603656718;-43.3259963083;0;185.726764219;0;0;0;0;2387522;1;
VLTS00848-2;Vão entre T004 e T005;;ESTR12512-0;-19.603365;-43.325168;0;0;ESTRUTURA 004;ESTR12513-8;;;0;0;4;ESTRUTURA 005;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.602391525;-43.3224077931;0;619.335839387;0;0;0;0;2387523;1;
VLTS00849-0;Vão entre T005 e T006;;ESTR12513-8;-19.601418;-43.319647;0;0;ESTRUTURA 005;ESTR12514-6;;;0;0;5;ESTRUTURA 006;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.6008842472;-43.3181328403;0;339.732072546;0;0;0;0;2387524;1;
VLTS00850-8;Vão entre T006 e T007;;ESTR12514-6;-19.60035;-43.316619;0;0;ESTRUTURA 006;ESTR12515-3;;;0;0;6;ESTRUTURA 007;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5998919361;-43.3153186667;0;291.624189889;0;0;0;0;2387525;1;
VLTS00851-6;Vão entre T007 e T008;;ESTR12515-3;-19.599434;-43.314019;0;0;ESTRUTURA 007;ESTR12516-1;;;0;0;7;ESTRUTURA 008;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5984837139;-43.3113253069;0;604.29276075;0;0;0;0;2387526;1;
VLTS00852-4;Vão entre T008 e T009;;ESTR12516-1;-19.597534;-43.308632;0;0;ESTRUTURA 008;ESTR12517-9;;;0;0;8;ESTRUTURA 009;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5971715194;-43.3076044639;0;230.491698003;0;0;0;0;2387527;1;
VLTS00853-2;Vão entre T009 e T010;;ESTR12517-9;-19.596809;-43.306577;0;0;ESTRUTURA 009;ESTR12518-7;;;0;0;9;ESTRUTURA 010;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5962516014;-43.3049961458;0;354.700866358;0;0;0;0;2387528;1;
VLTS00854-0;Vão entre T010 e T011;;ESTR12518-7;-19.595694;-43.303415;0;0;ESTRUTURA 010;ESTR12519-5;;;0;0;10;ESTRUTURA 011;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5964970167;-43.3013825694;0;463.03688949;0;0;0;0;2387529;1;
VLTS00855-7;Vão entre T011 e T012;;ESTR12519-5;-19.5973;-43.29935;0;0;ESTRUTURA 011;ESTR12520-3;;;0;0;11;ESTRUTURA 012;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5981068625;-43.2973074611;0;465.279871165;0;0;0;0;2387530;1;
VLTS00856-5;Vão entre T012 e T013;;ESTR12520-3;-19.598914;-43.295265;0;0;ESTRUTURA 012;ESTR12521-1;;;0;0;12;ESTRUTURA 013;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5989199667;-43.2939509569;0;276.288136938;0;0;0;0;2387531;1;
VLTS00857-3;Vão entre T013 e T014;;ESTR12521-1;-19.598926;-43.292637;0;0;ESTRUTURA 013;ESTR12522-9;;;0;0;13;ESTRUTURA 014;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5989345944;-43.29087355;0;370.780578767;0;0;0;0;2387532;1;
VLTS00858-1;Vão entre T014 e T015;;ESTR12522-9;-19.598943;-43.28911;0;0;ESTRUTURA 014;ESTR12523-7;;;0;0;14;ESTRUTURA 015;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5989483125;-43.2879792417;0;237.787215738;0;0;0;0;2387533;1;
VLTS00859-9;Vão entre T015 e T016;;ESTR12523-7;-19.598954;-43.286848;0;0;ESTRUTURA 015;ESTR12524-5;;;0;0;15;ESTRUTURA 016;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.5996426444;-43.2859486986;0;243.201460209;0;0;0;0;2387534;1;
VLTS00860-7;Vão entre T016 e T017;;ESTR12524-5;-19.600332;-43.285049;0;0;ESTRUTURA 016;ESTR12525-2;;;0;0;16;ESTRUTURA 017;MT-L-39613;LT Itabira 4 - Itabira 5 - 230 KV;0;0;-19.6005203375;-43.2849369375;0;48.0485407765;0;0;0;0;2387535;1;
