COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS09426-8;Vão entre Pórtico inicial e  T001;;PORT00035-6;-19.0224781994;-50.4909059202;352.185;344.735;Portico;ESTR00011-7;;;368.242;360.782;0;ESTRUTURA 001;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0227967524;-50.4898349299;0;236.186919676;7.923808831;7.256964113;362.256;354.796;2394202;1;
VLTS09427-6;Vão entre T001 e  T002;;ESTR00011-7;-19.0231153054;-50.4887639395;368.242;360.782;ESTRUTURA 001;ESTR00012-5;;;397.315;389.855;1;ESTRUTURA 002;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0236459271;-50.4869624208;0;396.946474288;7.920967192;7.578855576;380.99;373.53;2394203;1;
VLTS09428-4;Vão entre T002 e  T003;;ESTR00012-5;-19.0241765488;-50.4851609022;397.315;389.855;ESTRUTURA 002;ESTR00013-3;;;399.707;392.247;2;ESTRUTURA 003;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0247350477;-50.4832534475;0;420.069017145;1.449761766;1.132909071;400.256;392.796;2394204;1;
VLTS09429-2;Vão entre T003 e  T004;;ESTR00013-3;-19.0252935466;-50.4813459928;399.707;392.247;ESTRUTURA 003;ESTR00014-1;;;401.515;394.055;3;ESTRUTURA 004;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0257303076;-50.4798445454;0;330.468805433;1.744491433;1.042458454;400.628;393.168;2394205;1;
VLTS09430-0;Vão entre T004 e  T005;;ESTR00014-1;-19.0261670687;-50.478343098;401.515;394.055;ESTRUTURA 004;ESTR00015-8;;;397.861;390.391;4;ESTRUTURA 005;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0268255407;-50.4767015054;0;374.985322286;2.43422861;1.780069673;398.048;390.578;2394206;1;
VLTS09431-8;Vão entre T005 e  T006;;ESTR00015-8;-19.0274840128;-50.4750599128;397.861;390.391;ESTRUTURA 005;ESTR00016-6;;;395.227;387.757;5;ESTRUTURA 006;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0281320212;-50.4734229936;0;373.180912892;2.068165797;1.288115183;398.239;390.769;2394207;1;
VLTS09432-6;Vão entre T006 e  T007;;ESTR00016-6;-19.0287800296;-50.4717860745;395.227;387.757;ESTRUTURA 006;ESTR00017-4;;;400.58;393.11;6;ESTRUTURA 007;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.029551097;-50.4698399;0;443.735164925;3.274024947;2.835024356;392.823;385.353;2394208;1;
VLTS09433-4;Vão entre T007 e  T008;;ESTR00017-4;-19.0303221645;-50.4678937255;400.58;393.11;ESTRUTURA 007;ESTR00018-2;;;406.702;399.232;7;ESTRUTURA 008;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0310474289;-50.4660641703;0;417.176716633;2.553833801;1.849336191;404.059;396.589;2394209;1;
VLTS09434-2;Vão entre T008 e  T009;;ESTR00018-2;-19.0317726932;-50.4642346152;406.702;399.232;ESTRUTURA 008;ESTR00020-8;;;407.918;400.448;8;ESTRUTURA 009;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.0323599093;-50.4627512174;0;338.173229762;2.597781027;0.949809067;407.741;400.271;2394210;1;
VLTS09435-9;Vão entre T009 e  T010;;ESTR00020-8;-19.0329471255;-50.4612678196;407.918;400.448;ESTRUTURA 009;ESTR00021-6;;;406.267;398.797;9;ESTRUTURA 010;MT-L-30101;LT Jaguara - São Simão 500 kV;40;40;-19.033494623;-50.4598899875;0;314.281900201;2.809261365;1.391744163;407.393;399.923;2394211;1;
