COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS13131-8;Vão entre Pórtico Inicial e T001;;PORT00021-6;-19.4173403957;-42.547490496;307.475;296.405;Pórtico Inicial;ESTR04293-7;-19.4178304404;-42.5473413128;306.993;295.923;0;ESTRUTURA 001;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;36;36;-19.417585418;-42.5474159044;0;56.4876806844;30.22251895;15.0917862;309.105;298.035;2387006;1;
VLTS13132-6;Vão entre T001 e T002;;ESTR04293-7;-19.4178304404;-42.5473413128;306.993;295.923;ESTRUTURA 001;ESTR04294-5;-19.4222092937;-42.5460164089;364.639;353.579;1;ESTRUTURA 002;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;36;36;-19.4200198671;-42.5466788608;0;504.515486107;20.52206579;19.88125296;282.116;271.056;2387007;1;
VLTS13133-4;Vão entre T002 e T003;;ESTR04294-5;-19.4222092937;-42.5460164089;364.639;353.579;ESTRUTURA 002;ESTR04407-3;-19.4239734788;-42.5455533883;366.489;355.429;2;ESTRUTURA 003;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;36;36;-19.4230913862;-42.5457848986;0;201.338227858;13.11176734;4.187480981;371.917;360.857;2387008;1;
VLTS13134-2;Vão entre T003 e T004;;ESTR04407-3;-19.4239734788;-42.5455533883;366.489;355.429;ESTRUTURA 003;ESTR04408-1;-19.4288159821;-42.5446388518;291.167;280.117;3;ESTRUTURA 004;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;36;36;-19.4263947304;-42.5450961201;0;544.817491046;19.35345354;18.46618393;275.433;264.383;2387009;1;
VLTS13135-9;Vão entre T004 e T005;;ESTR04408-1;-19.4288159821;-42.5446388518;291.167;280.117;ESTRUTURA 004;ESTR04409-9;-19.431473304;-42.5431341735;268.628;257.588;4;ESTRUTURA 005;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.430144643;-42.5438865127;0;334.055801783;10.30097361;9.258034087;261.965;250.915;2387010;1;
VLTS13136-7;Vão entre T005 e T006;;ESTR04409-9;-19.431473304;-42.5431341735;268.628;257.588;ESTRUTURA 005;ESTR04411-5;-19.4317337112;-42.5424858076;273.427;262.387;5;ESTRUTURA 006;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4316035076;-42.5428099906;0;73.9716625765;11.63148116;7.820562359;270.94;259.9;2387011;1;
VLTS13137-5;Vão entre T006 e T007;;ESTR04411-5;-19.4317337112;-42.5424858076;273.427;262.387;ESTRUTURA 006;ESTR04412-3;-19.4307364969;-42.5405222035;298.57;287.52;6;ESTRUTURA 007;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4312351041;-42.5415040055;0;234.000113105;13.66153186;11.85341307;278.754;267.714;2387012;1;
VLTS13138-3;Vão entre T007 e T008;;ESTR04412-3;-19.4307364969;-42.5405222035;298.57;287.52;ESTRUTURA 007;ESTR04413-1;-19.4283910137;-42.5359092449;252.858;241.808;7;ESTRUTURA 008;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4295637553;-42.5382157242;0;549.872022404;9.471112891;8.482337362;260.589;249.539;2387013;1;
VLTS13139-1;Vão entre T008 e T009;;ESTR04413-1;-19.4283910137;-42.5359092449;252.858;241.808;ESTRUTURA 008;ESTR04414-9;-19.4265592124;-42.5322984944;253.851;242.801;8;ESTRUTURA 009;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.427475113;-42.5341038696;0;430.198158788;3.05254677;1.452353961;249.112;238.062;2387014;1;
VLTS13140-9;Vão entre T009 e T010;;ESTR04414-9;-19.4265592124;-42.5322984944;253.851;242.801;ESTRUTURA 009;ESTR04415-6;-19.4245555805;-42.52835068;285.055;274.005;9;ESTRUTURA 010;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4255573964;-42.5303245872;0;470.406118346;9.549195524;7.123631835;257.243;246.193;2387015;1;
VLTS13141-7;Vão entre T010 e T011;;ESTR04415-6;-19.4245555805;-42.52835068;285.055;274.005;ESTRUTURA 010;ESTR04416-4;-19.4233852598;-42.5260501723;276.076;265.016;10;ESTRUTURA 011;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4239704201;-42.5272004262;0;274.265683682;8.020689904;5.190952003;288.241;277.181;2387016;1;
VLTS13142-5;Vão entre T011 e T012;;ESTR04416-4;-19.4233852598;-42.5260501723;276.076;265.016;ESTRUTURA 011;ESTR04417-2;-19.4212516648;-42.5218531107;248.791;237.731;11;ESTRUTURA 012;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4223184623;-42.5239516415;0;500.296282011;7.922505408;7.06921104;242.429;231.369;2387017;1;
VLTS13143-3;Vão entre T012 e T013;;ESTR04417-2;-19.4212516648;-42.5218531107;248.791;237.731;ESTRUTURA 012;ESTR04418-0;-19.4197610588;-42.5189180275;236.402;225.342;12;ESTRUTURA 013;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4205063618;-42.5203855691;0;349.794178535;5.716504512;3.930883029;235.949;224.889;2387018;1;
VLTS13144-1;Vão entre T013 e T014;;ESTR04418-0;-19.4197610588;-42.5189180275;236.402;225.342;ESTRUTURA 013;ESTR04419-8;-19.4170981275;-42.5136826464;296.149;285.089;13;ESTRUTURA 014;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4184295931;-42.516300337;0;624.158875959;10.53914356;10.24707049;233.618;222.558;2387019;1;
VLTS13145-8;Vão entre T014 e T015;;ESTR04419-8;-19.4170981275;-42.5136826464;296.149;285.089;ESTRUTURA 014;ESTR04420-6;-19.4152245914;-42.5099945021;297.323;286.263;14;ESTRUTURA 015;MT-L-39740;Mesquita_PORT_P1_G. Valadares 6;45;45;-19.4161613594;-42.5118385743;0;439.578462447;15.62633429;13.30160711;242.289;231.229;2387020;1;
