COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS06949-2;Vão entre T001 e T002;;ESTR05785-1;-20.0173717038;-47.4376558577;573.441;565.321;ESTRUTURA 001;ESTR05786-9;-20.0152854451;-47.4374191244;543.563;535.443;1;ESTRUTURA 002;MT-L-30494;LT2 Jaguara(345) - Jaguara(500) 345 kV;50;50;-20.0163285744;-47.437537491;0;232.376591522;15.71888105;13.78882433;549.512;541.392;2396864;1;
VLTS06948-4;Vão entre Pórtico inicial e T001;;PORT00148-7;-20.0175819016;-47.4378972642;577.942;569.822;Pórtico Jaguara 345 kV;ESTR05785-1;-20.0173717038;-47.4376558577;573.441;565.321;0;ESTRUTURA 001;MT-L-30494;LT2 Jaguara(345) - Jaguara(500) 345 kV;50;50;-20.0174768027;-47.4377765609;0;34.3582771543;71.55772069;25.34178289;574.205;566.085;2396865;1;
VLTS06951-8;Vão entre T003 e Pórtico final;;ESTR05787-7;-20.0140752965;-47.437291719;539.623;531.493;ESTRUTURA 003;PORT00149-5;-20.0138160568;-47.4373917562;539.269;531.139;3;Pórtico Jaguara 500 kV;MT-L-30494;LT2 Jaguara(345) - Jaguara(500) 345 kV;50;50;-20.0139456767;-47.4373417376;0;30.5607320916;11.21700877;4.315996083;539.211;531.081;2396866;1;
VLTS06950-0;Vão entre T002 e T003;;ESTR05786-9;-20.0152854451;-47.4374191244;543.563;535.443;ESTRUTURA 002;ESTR05787-7;-20.0140752965;-47.437291719;539.623;531.493;2;ESTRUTURA 003;MT-L-30494;LT2 Jaguara(345) - Jaguara(500) 345 kV;50;50;-20.0146803708;-47.4373554217;0;134.684883704;6.045221836;3.868288598;541.558;533.428;2396867;1;
