COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS01594-1;Vão entre T030 e T031;;ESTR00009-1;-19.5036178188;-40.9215606424;60.20299912;51.80299912;ESTRUTURA 030;ESTR00010-9;-19.5035050837;-40.9194742796;59.4620018;51.0620018;30;ESTRUTURA 031;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.5035614513;928340.190499;0;219.773255826;1.98290848;1.936359344;62.63700104;54.23700104;2396674;1;
VLTS01564-4;Vão entre Pórtico inicial e T001;;PORT00013-3;-19.5001823336;-41.0231005145;71.45200348;63.00200348;Pórtico Aimorés;ESTR00067-9;-19.500664552;-41.0229790608;71.22399902;62.77399902;0;ESTRUTURA 001;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.5004234428;917569.848089;0;54.9784483124;2.215237379;2.183028713;71.26699829;62.81699829;2396675;1;
VLTS01565-1;Vão entre T001 e T002;;ESTR00067-9;-19.500664552;-41.0229790608;71.22399902;62.77399902;ESTRUTURA 001;ESTR00068-7;-19.5014082305;-41.0212237163;68.79499817;60.34499817;1;ESTRUTURA 002;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.5010363912;917666.923713;0;202.171983212;2.214600896;2.230280682;69.08000183;60.63000183;2396676;1;
VLTS01566-9;Vão entre T002 e T003;;ESTR00068-7;-19.5014082305;-41.0212237163;68.79499817;60.34499817;ESTRUTURA 002;ESTR00069-5;-19.499911452;-41.0187422852;79.15799713;70.70799713;2;ESTRUTURA 003;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.5006598412;917890.598301;0;309.258237419;4.023239546;3.935545168;73.52100372;65.07100372;2396677;1;
VLTS01567-7;Vão entre T003 e T004;;ESTR00069-5;-19.499911452;-41.0187422852;79.15799713;70.70799713;ESTRUTURA 003;ESTR00070-3;-19.4979110216;-41.0154345112;86.26100159;77.81100159;3;ESTRUTURA 004;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4989112368;918199.412801;0;412.559264535;3.310117544;3.243097624;78.86100006;70.41100006;2396678;1;
VLTS01568-5;Vão entre T004 e T005;;ESTR00070-3;-19.4979110216;-41.0154345112;86.26100159;77.81100159;ESTRUTURA 004;ESTR00071-1;-19.4981421256;-41.0120833599;84.47699738;76.02699738;4;ESTRUTURA 005;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4980265736;918551.722778;0;353.338375343;5.227849962;5.233425099;76.52200317;68.07200317;2396679;1;
VLTS01569-3;Vão entre T005 e T006;;ESTR00071-1;-19.4981421256;-41.0120833599;84.47699738;76.02699738;ESTRUTURA 005;ESTR00072-9;-19.4984262213;-41.0079758969;75.56800079;67.11800079;5;ESTRUTURA 006;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4982841735;918943.127227;0;433.090093553;2.389434458;2.266734217;78.20200348;69.75200348;2396680;1;
VLTS01570-1;Vão entre T006 e T007;;ESTR00072-9;-19.4984262213;-41.0079758969;75.56800079;67.11800079;ESTRUTURA 006;ESTR00073-7;-19.4987100219;-41.0039128438;71.5719986;63.1219986;6;ESTRUTURA 007;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4985681216;919371.885619;0;428.431188293;1.134907353;1.085635096;74.70700073;66.25700073;2396681;1;
VLTS01571-9;Vão entre T007 e T008;;ESTR00073-7;-19.4987100219;-41.0039128438;71.5719986;63.1219986;ESTRUTURA 007;ESTR00074-5;-19.4989622553;-41.00031043;77.18099976;68.73099976;7;ESTRUTURA 008;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4988361386;919774.136842;0;379.864703964;1.663643732;1.601755338;74.33100128;65.88100128;2396682;1;
VLTS01572-7;Vão entre T008 e T009;;ESTR00074-5;-19.4989622553;-41.00031043;77.18099976;68.73099976;ESTRUTURA 008;ESTR00075-2;-19.4990321624;-40.9965400568;66.60500336;58.15500336;8;ESTRUTURA 009;MT-L-30020;LT2 Aimorés - Mascarenhas 230 kV;19;19;-19.4989972088;920161.280072;0;396.573217023;3.055703842;3.005599613;67.92099762;59.47099762;2396683;1;
