COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS01596-6;Vão entre Pórtico inicial e T100A;;PORT00094-3;-19.8529251378;-43.4418156646;743.4589844;735.8389844;Pórtico B.Cocais 3;ESTC11782-0;;;735.7360229;728.1160229;0;ESTRUTURA 100A;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8524530608;-43.4418890724;0;105.038579824;11.66429914;8.094182323;743.3850098;735.7650098;2386391;1;
VLTS01597-4;Vão entre T100A e T099A;;ESTC11782-0;-19.8519809847;-43.4419624803;735.7360229;728.1160229;ESTRUTURA 100A;ESTC11781-2;;;739.3209839;731.6909839;1;ESTRUTURA 099A;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8515738771;-43.4419988305;0;90.7794247512;36.45431514;7.651495816;734.2620239;726.6320239;2386392;1;
VLTS01598-2;Vão entre T099A e T100;;ESTC11781-2;-19.8511667703;-43.4420351807;739.3209839;731.6909839;ESTRUTURA 099A;ESTR11785-3;;;735.367981;727.717981;2;ESTRUTURA 100;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8507424852;-43.4395551541;0;533.561107092;2.098911345;5.668149644;719.8209839;712.1809839;2386393;1;
VLTS01599-0;Vão entre T100 e T101;;ESTR11785-3;-19.850318201;-43.4370751284;735.367981;727.717981;ESTRUTURA 100;ESTR11786-1;;;696.9559937;689.2859937;3;ESTRUTURA 101;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8500416793;-43.4354395722;0;350.637135809;7.843144309;11.64366868;711.9390259;704.2790259;2386394;1;
VLTS01600-6;Vão entre T101 e T102;;ESTR11786-1;-19.8497651593;-43.433804017;696.9559937;689.2859937;ESTRUTURA 101;ESTR11787-9;;;701.6329956;693.9529956;4;ESTRUTURA 102;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.849448135;-43.4319274459;0;402.301892899;11.09315952;6.179936001;680.1170044;672.4370044;2386395;1;
VLTS01601-4;Vão entre T102 e T103;;ESTR11787-9;-19.8491311117;-43.4300508757;701.6329956;693.9529956;ESTRUTURA 102;ESTR11788-7;;;719.1359863;711.4359863;5;ESTRUTURA 103;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8488236593;-43.4282268076;0;391.023028063;9.304300616;9.118130939;688.440979;680.750979;2386396;1;
VLTS01602-2;Vão entre T103 e T104;;ESTR11788-7;-19.8485162078;-43.4264027415;719.1359863;711.4359863;ESTRUTURA 103;ESTR11789-5;;;719.0969849;711.3769849;6;ESTRUTURA 104;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8482521322;-43.4248447074;0;334.054550046;16.51915335;2.546595771;712.2589722;704.5489722;2386397;1;
VLTS01603-0;Vão entre T104 e T105;;ESTR11789-5;-19.8479880574;-43.4232866752;719.0969849;711.3769849;ESTRUTURA 104;ESTR11790-3;;;699.9190063;692.1790063;7;ESTRUTURA 105;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8475985146;-43.4209821051;0;494.081880093;1.788367251;10.9985778;673.1829834;665.4529834;2386398;1;
VLTS01604-8;Vão entre T105 e T106;;ESTR11790-3;-19.8472089735;-43.4186775359;699.9190063;692.1790063;ESTRUTURA 105;ESTR11791-1;;;697.302002;689.552002;8;ESTRUTURA 106;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8470044486;-43.4174694604;0;259.017536754;10.00164166;9.131042351;677.3330078;669.5930078;2386399;1;
VLTS01605-5;Vão entre T106 e T107;;ESTR11791-1;-19.8467999255;-43.4162613858;697.302002;689.552002;ESTRUTURA 106;ESTR11792-9;;;675.9180298;668.1480298;9;ESTRUTURA 107;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8464018899;-43.4139082033;0;504.525893904;7.649556664;7.110430374;664.5609741;656.8009741;2386400;1;
VLTS01606-3;Vão entre T107 e T108;;ESTR11792-9;-19.8460038552;-43.4115550219;675.9180298;668.1480298;ESTRUTURA 107;ESTR11793-7;;;675.1619873;667.3719873;10;ESTRUTURA 108;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8456727009;-43.4096004525;0;419.08972893;1.5991865;2.031074335;669.9710083;662.1910083;2386401;1;
VLTS01607-1;Vão entre T108 e T109;;ESTR11793-7;-19.8453415484;-43.4076458841;675.1619873;667.3719873;ESTRUTURA 108;ESTR11794-5;;;732.3460083;724.5360083;11;ESTRUTURA 109;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.844933232;-43.4052336248;0;517.217293378;11.92458686;11.60884787;681.5360107;673.7360107;2386402;1;
VLTS01608-9;Vão entre T109 e T110;;ESTR11794-5;-19.8445249175;-43.4028213664;732.3460083;724.5360083;ESTRUTURA 109;ESTR11795-2;;;711.4349976;703.5949976;12;ESTRUTURA 110;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8440549703;-43.4000458014;0;595.129540374;11.86027236;9.029462641;686.9550171;679.1350171;2386403;1;
VLTS01609-7;Vão entre T110 e T111;;ESTR11795-2;-19.843585024;-43.3972702374;711.4349976;703.5949976;ESTRUTURA 110;ESTR11796-0;;;741.9290161;734.0690161;13;ESTRUTURA 111;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8430903862;-43.3943479383;0;626.596785497;8.798643772;11.10300061;675.4689941;667.6189941;2386404;1;
VLTS01610-5;Vão entre T111 e T112;;ESTR11796-0;-19.8425957484;-43.3914256402;741.9290161;734.0690161;ESTRUTURA 111;ESTR11797-8;;;829.4310303;821.5510303;14;ESTRUTURA 112;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8422947142;-43.3896466089;0;381.460471352;28.14394683;26.68848752;772.7420044;764.8720044;2386405;1;
VLTS01611-3;Vão entre T112 e T113;;ESTR11797-8;-19.8419936801;-43.3878675786;829.4310303;821.5510303;ESTRUTURA 112;ESTR11798-6;;;846.7399902;838.8399902;15;ESTRUTURA 113;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.8416225973;-43.3856701304;0;471.153677931;12.69118458;12.34311267;792.75;784.86;2386406;1;
VLTS01612-1;Vão entre T113 e T114;;ESTR11798-6;-19.8412515154;-43.3834726831;846.7399902;838.8399902;ESTRUTURA 113;ESTR11799-4;;;821.2680054;813.3580054;16;ESTRUTURA 114;MT-L-31081;LT B. Cocais 3 - J. Monlevade 230 kV;19;19;-19.840998738;-43.3823557408;0;242.409828308;47.81407036;12.41327698;821.5430298;813.6430298;2386407;1;
