COD_VAO_SAP;NOM_VAO_SAP;VAL_ALTURA;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NOM_ESTRUTURA_INI_SAP;COD_ESTRUTURA_FIM_SAP;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;NUM_ID_SEQUENCIA;NOM_ESTRUTURA_FIM_SAP;COD_LT_SAP;NOM_LT_SAP;VAL_LARGURA_FAIXA_ESQ;VAL_LARGURA_FAIXA_DIR;NUM_LATITUDE_PONTO_CENTRAL;NUM_LONGITUDE_PONTO_CENTRAL;TAG_INVASAO_FAIXA_CENTRAL;VAL_COMPRIMENTO_VAO;VAL_DIF_GRAD_VAO;VAL_DIF_GRAD_CABO;NUM_ALTITUDE_ORT_PONTO_CENTRAL;NUM_ALTITUDE_GEO_PONTO_CENTRAL;OBJECTID;TAG_ATIVO;VAL_TENSAO
VLTS02072-7;Vão entre Pórtico inicial e T001C;;PORT00019-0;-19.4175463342;-42.5481269968;296.921;285.851;Pórtico Mesquita;ESTR05327-2;;;307.506;296.436;0;ESTRUTURA 001C;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4177581338;-42.5480157185;0;52.4161131428;26.402949;22.23369198;307.182;296.112;2396706;1;
VLTS02073-5;Vão entre T001C e T002;;ESTR05327-2;-19.4179699334;-42.5479044402;296.809998;285.739998;ESTRUTURA 001C;ESTR05328-0;;;367.828003;356.768003;1;ESTRUTURA 002;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4201298728;-42.5471080488;0;506.825898353;20.217865;20.00682747;282.408997;271.348997;2396707;1;
VLTS02074-3;Vão entre T002 e T003;;ESTR05328-0;-19.4222898121;-42.5463116573;367.828003;356.768003;ESTRUTURA 002;ESTR05329-8;;;366.143005;355.083005;2;ESTRUTURA 003;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4231632618;-42.5460830815;0;199.331663388;5.853144;4.720441262;374.243012;363.183012;2396708;1;
VLTS02075-0;Vão entre T003 e T004;;ESTR05329-8;-19.4240367115;-42.5458545058;366.143005;355.083005;ESTRUTURA 003;ESTR05330-6;;;294.088013;283.038013;3;ESTRUTURA 004;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4264748848;-42.5453926656;0;548.676071613;18.258232;17.995864;273.869995;262.819995;2396709;1;
VLTS02076-8;Vão entre T004 e T005;;ESTR05330-6;-19.428913058;-42.5449308254;294.088013;283.038013;ESTRUTURA 004;ESTR05331-4;;;267.204987;256.164987;4;ESTRUTURA 005;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4302632707;-42.5441696965;0;339.135416536;10.301701;10.01998668;261.72699;250.67699;2396710;1;
VLTS02077-6;Vão entre T005 e T006;;ESTR05331-4;-19.4316134833;-42.5434085675;266.361;255.321;ESTRUTURA 005;ESTR05332-2;;;267.2;256.16;5;ESTRUTURA 006;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;28;28;-19.4318123251;-42.5435244849;0;50.3277161225;4.751405;2.844123744;266.859;255.819;2396711;1;
VLTS02078-4;Vão entre T006 e T007;;ESTR05332-2;-19.4320111668;-42.5436404023;357.564;346.524;ESTRUTURA 006;ESTR05444-5;;;266.361;255.321;6;ESTRUTURA 007;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;45;45;-19.4328685746;-42.5453377118;0;404.051470231;24.462478;24.01178963;292.533;281.493;2396712;1;
VLTS02079-2;Vão entre T007 e T008;;ESTR05444-5;-19.4337259823;-42.5470350213;258.197;247.157;ESTRUTURA 007;ESTR05445-2;;;357.564;346.524;7;ESTRUTURA 008;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;45;45;-19.4346059864;-42.5487586175;0;411.278788443;26.556441;26.0932443;283.356;272.316;2396713;1;
VLTS02080-0;Vão entre T008 e T009;;ESTR05445-2;-19.4354859905;-42.5504822138;254.107;243.067;ESTRUTURA 008;ESTR05446-0;;;258.197;247.167;8;ESTRUTURA 009;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;45;45;-19.436311012;-42.5521063185;0;387.095938674;2.417745;2.404055126;254.216;243.186;2396714;1;
VLTS02081-8;Vão entre T009 e T010;;ESTR05446-0;-19.4371360335;-42.5537304232;256.519;245.489;ESTRUTURA 009;ESTR05447-8;;;254.107;243.077;9;ESTRUTURA 010;MT-L-30397;LT2 Ipatinga 1 - Mesquita 230 kV;45;45;-19.4376190309;-42.5551432725;0;315.547269836;1.68057;0.813193384;254.638;243.608;2396715;1;
