VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12512833;0;;-19.1347593995;-47.7011314001;750.781;741.431;-19.1352169985;-47.7022105936;744.289;734.939;;MT-L-30121;-19.1349881999;-47.7016709962;744.215;734.865;24.539;-19.1348833426;-47.701423703;750.315002441;740.965002441;20.716;-19.1349419551;-47.7015619334;740.739990234;731.389990234;28.845;0;48479;;6358552;1
;12512834;0;;-19.1348208743;-47.7011021185;750.801;741.451;-19.1352637446;-47.7021625843;744.783;735.433;;MT-L-30121;-19.1350423103;-47.7016323508;744.68;735.33;20.17;-19.1352637446;-47.7021625843;744.78302002;735.43302002;15.765;-19.13499221;-47.7015123844;741.50201416;732.15201416;25.201;0;48480;;6358553;1
;12512835;0;;-19.1346985854;-47.701160367;750.768;741.418;-19.1351735827;-47.7022551827;744.452;735.102;;MT-L-30121;-19.134936085;-47.7017077741;743.758;734.408;20.849;-19.1351735827;-47.7022551827;744.452026367;735.102026367;16.365;-19.1348787576;-47.7015756412;740.95300293;731.60300293;25.619;0;48481;;6358554;1
;12512836;0;ESTR01892-9;-19.1351678466;-47.7022610737;744.433;735.083;-19.1361365861;-47.7028030521;750.594;741.244;ESTR01893-7;MT-L-30121;-19.1356522167;-47.7025320621;749.899;740.549;12.703;-19.1356458204;-47.7025284835;749.874023438;740.524023438;12.675;-19.1361365861;-47.7028030521;750.593994141;741.243994141;18.164;1;48482;;6358555;1
;12512837;0;ESTR01892-9;-19.1352661053;-47.7021601597;744.773;735.423;-19.1361840097;-47.7025766341;752.592;743.242;ESTR01893-7;MT-L-30121;-19.1357250577;-47.7023683963;750.968;741.618;11.767;-19.1357464656;-47.7023781095;751.257995605;741.907995605;11.674;-19.1361747552;-47.7025724351;752.361999512;743.011999512;16.414;1;48483;;6358556;1
;12512838;0;ESTR01892-9;-19.1352164713;-47.7022111351;744.287;734.937;-19.1361603504;-47.7026895928;751.268;741.918;ESTR01893-7;MT-L-30121;-19.1356884111;-47.7024503632;750.483;741.133;16.103;-19.1358829636;-47.7025489831;752.028991699;742.678991699;14.885;-19.1352164713;-47.7022111351;744.286987305;734.936987305;24.518;1;48484;;6358557;1
;12512839;0;ESTR01893-7;-19.1361599074;-47.7026917078;751.291;741.941;-19.1385064255;-47.7026383161;776.696;767.346;ESTR01894-5;MT-L-30121;-19.1373331665;-47.7026650116;765.047;755.697;13.294;-19.1369347607;-47.7026740768;763.515991211;754.165991211;10.001;-19.1385064255;-47.7026383161;776.695983887;767.345983887;24.902;2;48485;;6358558;1
;12512840;0;ESTR01893-7;-19.1361834621;-47.7025792485;752.596;743.246;-19.1384922114;-47.7024802562;777.353;768.003;ESTR01894-5;MT-L-30121;-19.1373378368;-47.7025297521;765.964;756.614;12.641;-19.1369397011;-47.702546823;763.54901123;754.19901123;10.128;-19.1384922114;-47.7024802562;777.353027344;768.003027344;24.315;2;48486;;6358559;1
;12512841;0;ESTR01893-7;-19.1361365125;-47.7028034036;750.599;741.249;-19.1385178462;-47.7027653151;775.437;766.087;ESTR01894-5;MT-L-30121;-19.1373271794;-47.7027843589;764.452;755.102;13.81;-19.1369115775;-47.7027910063;762.697021484;753.347021484;10.621;-19.1385178462;-47.7027653151;775.437011719;766.087011719;26.414;2;48487;;6358560;1
;12512842;0;ESTR01894-5;-19.1384924669;-47.7024830976;777.365;768.015;-19.141871949;-47.7018802952;801.375;792.025;ESTR01895-2;MT-L-30121;-19.140182208;-47.7021816984;793.002;783.652;18.156;-19.1397552358;-47.7022578578;790.223999023;780.873999023;15.875;-19.141871949;-47.7018802952;801.375;792.025;47.663;3;48488;;6358561;1
