VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12490279;0;ESTR12505-4;-18.8471048413;-41.9847167573;231.181;220.141;-18.8502844008;-41.9830288963;183.285;172.245;ESTR12506-2;MT-L-39739;-18.84869462;-41.98387283;188.207;177.167;40.226;-18.8478720728;-41.9843094821;223.216;212.176;23.731;-18.8484262709;-41.98401529;187.998;176.958;45.726;;25925;;6335998;1
;12490280;0;ESTR12505-4;-18.8470751597;-41.9846555202;228.323;217.283;-18.8502208091;-41.9829624899;182.961;171.921;ESTR12506-2;MT-L-39739;-18.84864799;-41.98380901;186.667;175.627;40.701;-18.8478381562;-41.9842448731;222.127;211.087;24.051;-18.848310992;-41.9839903888;188.863;177.823;45.445;;25926;;6335999;1
;12490281;0;ESTR12505-4;-18.8471077599;-41.9847227787;231.434;220.394;-18.8502562528;-41.9829995024;183.267;172.227;ESTR12506-2;MT-L-39739;-18.84868201;-41.98386115;188.026;176.986;35.749;-18.8478699283;-41.984305626;223.065;212.025;19.153;-18.8484047635;-41.9840128952;188.151;177.111;41.152;;25927;;6336000;1
;12490282;0;ESTR12505-4;-18.8470713685;-41.9846476985;228.242;217.202;-18.8502254761;-41.9829673635;183.042;172.002;ESTR12506-2;MT-L-39739;-18.84864843;-41.98380754;186.657;175.617;31.703;-18.8478375344;-41.9842395351;221.897;210.857;14.761;-18.8483118939;-41.9839868247;188.838;177.798;36.276;;25928;;6336001;1
;12490283;0;ESTR12505-4;-18.8471082028;-41.9847236925;231.468;220.428;-18.850283577;-41.9830280361;183.284;172.244;ESTR12506-2;MT-L-39739;-18.84869589;-41.98387587;188.289;177.249;30.271;-18.8478903452;-41.9843060347;222.86;211.82;13.639;-18.8484282556;-41.9840187918;188.076;177.036;35.706;;25929;;6336002;1
;12490284;0;ESTR12504-7;-18.8437118981;-41.9864413594;274.877;263.837;-18.8470752553;-41.9846557174;228.322;217.282;ESTR12505-4;MT-L-39739;-18.84539358;-41.98554855;234.707;223.667;43.707;-18.8445337919;-41.9860050159;267.749;256.709;25.263;-18.8463776473;-41.9850260926;202.244;191.204;68.08;;25930;;6336003;1
;12490285;0;ESTR12504-7;-18.8437226348;-41.9865349024;277.908;266.868;-18.8471048943;-41.9847168665;231.186;220.146;ESTR12505-4;MT-L-39739;-18.84541377;-41.98562589;238.789;227.749;40.186;-18.8445115175;-41.9861108699;271.27;260.23;22.974;-18.8463985486;-41.9850965502;205.412;194.372;65.293;;25931;;6336004;1
;12490286;0;ESTR12504-7;-18.8437223393;-41.9865323281;277.869;266.829;-18.8471081838;-41.9847236532;231.467;220.427;ESTR12505-4;MT-L-39739;-18.84541527;-41.985628;238.816;227.776;29.167;-18.844510211;-41.9861114657;271.307;260.267;12.617;-18.8463990053;-41.9851024953;205.021;193.981;54.996;;25932;;6336005;1
;12490287;0;ESTR12504-7;-18.8437185794;-41.9864995703;276.778;265.738;-18.847107775;-41.9847228098;231.435;220.395;ESTR12505-4;MT-L-39739;-18.84541318;-41.9856112;237.964;226.924;35.579;-18.8444794217;-41.9861007126;271.052;260.012;18.859;-18.8463899086;-41.9850991537;205.543;194.503;60.075;;25933;;6336006;1
;12490288;0;ESTR12504-7;-18.8437126147;-41.9864476032;275.183;264.143;-18.847071438;-41.9846478418;228.245;217.205;ESTR12505-4;MT-L-39739;-18.84539203;-41.98554773;234.661;223.621;33.089;-18.8445311807;-41.9860089989;268.008;256.968;14.915;-18.8463709653;-41.9850231845;202.324;191.284;57.534;;25934;;6336007;1
