VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12505348;0;ESTR06986-4;-17.5913658086;-44.6955896659;493.538;481.968;-17.5903310775;-44.6968139246;490.041;478.471;ESTR06987-2;MT-L-30220;-17.590848444;-44.696201797;491.952;480.382;9.67;-17.5907944295;-44.6962657051;491.932006836;480.362006836;9.58;-17.5903310775;-44.6968139246;490.040985107;478.470985107;15.867;214;40994;;6351067;1
;12505349;0;ESTR07001-1;-17.5915715173;-44.7347737738;514.946;503.336;-17.5917799353;-44.7352882625;515.231;503.621;PORT00121-4;MT-L-30220;-17.5916757264;-44.735031018;515.104;503.494;15.562;-17.5916558733;-44.7349820098;515.099975586;503.489975586;15.511;-17.5917799353;-44.7352882625;515.231018066;503.621018066;17.127;229;40995;;6351068;1
;12505350;0;ESTR06984-9;-17.5939588033;-44.6983765291;489.765;478.205;-17.5910636412;-44.6957426503;493.274;481.704;ESTR06985-6;MT-L-30220;-17.5925112266;-44.6970595792;490.616;479.056;10.975;-17.5925222497;-44.6970696076;490.670013428;479.110013428;10.941;-17.5939588033;-44.6983765291;489.765014648;478.205014648;31.049;212;40996;;6351069;1
;12505351;0;ESTR06984-9;-17.5940029025;-44.6983056364;489.829;478.269;-17.591123285;-44.6956753638;493.649;482.079;ESTR06985-6;MT-L-30220;-17.5925630981;-44.6969904897;490.637;479.077;11.139;-17.5925551076;-44.6969831911;490.631988525;479.071988525;11.128;-17.5940029025;-44.6983056364;489.82901001;478.26901001;30.957;212;40997;;6351070;1
;12505352;0;ESTR06984-9;-17.5940563854;-44.6982509262;489.731;478.171;-17.5911786175;-44.6956037267;493.757;482.187;ESTR06985-6;MT-L-30220;-17.5926175058;-44.696927316;490.676;479.116;11.013;-17.5925994874;-44.6969107412;490.734985352;479.174985352;10.921;-17.5940563854;-44.6982509262;489.730987549;478.170987549;30.987;212;40998;;6351071;1
;12505353;0;PORT00068-7;-18.2116221055;-45.2554683928;575.912;565.162;-18.2117127675;-45.2550184655;577.139;566.389;ESTR06107-7;MT-L-30220;-18.2116674366;-45.2552434292;576.98;566.23;14.442;-18.2116742588;-45.255209573;577.171020508;566.421020508;14.257;-18.2116221055;-45.2554683928;575.911987305;565.161987305;16.605;0;40999;;6351072;1
;12505354;0;PORT00068-7;-18.2115098405;-45.2554547163;575.908;565.158;-18.2115247336;-45.2549955758;576.146;565.396;ESTR06107-7;MT-L-30220;-18.2115172872;-45.2552251461;576.747;565.997;14.776;-18.2115168952;-45.2552372287;576.893981934;566.143981934;14.627;-18.2115098405;-45.2554547163;575.90802002;565.15802002;16.5;0;41000;;6351073;1
;12505355;0;PORT00068-7;-18.2115668618;-45.2554604937;575.948;565.198;-18.2116115537;-45.2550076492;576.54;565.79;ESTR06107-7;MT-L-30220;-18.2115892079;-45.2552340715;576.77;566.02;14.765;-18.2115909554;-45.2552163651;576.888000488;566.138000488;14.637;-18.2115668618;-45.2554604937;575.947998047;565.197998047;16.971;0;41001;;6351074;1
;12505356;0;ESTR06402-2;-17.9880929645;-45.0734779208;541.004;530.214;-17.9838938931;-45.0700988054;539.921;529.131;ESTR06403-0;MT-L-30220;-17.9859934365;-45.0717883431;523.994;513.204;14.965;-17.9851065665;-45.0710746576;532.140991211;521.350991211;11.054;-17.9880929645;-45.0734779208;541.00402832;530.21402832;34.493;74;41002;;6351075;1
;12505357;0;ESTR06402-2;-17.9880375292;-45.0735506148;541.73;530.94;-17.9838463256;-45.0701624724;539.937;529.147;ESTR06403-0;MT-L-30220;-17.9859419351;-45.0718565236;523.663;512.873;16.335;-17.9850846286;-45.0711634868;531.630981445;520.840981445;12.08;-17.9856558694;-45.0716252703;540.023994446;529.233994446;534.623;74;41003;;6351076;1
;12505358;0;ESTR06402-2;-17.9879849724;-45.0736265249;542.251;531.461;-17.9837999839;-45.0702240292;539.895;529.105;ESTR06403-0;MT-L-30220;-17.9858924859;-45.071925257;523.868;513.078;15.179;-17.9849530122;-45.0711614477;532.609985352;521.819985352;11.364;-17.9879849724;-45.0736265249;542.250976563;531.460976563;33.19;74;41004;;6351077;1
;12505359;0;ESTR06403-0;-17.9838939638;-45.0700989196;539.92;529.13;-17.9811719193;-45.0679006161;526.448;515.658;ESTR06404-8;MT-L-30220;-17.9825329448;-45.0689997595;536.409;525.619;10.255;-17.9825678428;-45.0690279428;536.668029785;525.878029785;10.192;-17.9838939638;-45.0700989196;539.91998291;529.12998291;28.153;75;41005;;6351078;1
;12505360;0;ESTR06403-0;-17.9837999981;-45.0702257098;539.883;529.093;-17.9810785788;-45.0680267002;526.331;515.541;ESTR06404-8;MT-L-30220;-17.9824392917;-45.0691261966;536.75;525.96;9.774;-17.982494164;-45.0691705355;537.187988281;526.397988281;9.666;-17.9837999981;-45.0702257098;539.882995605;529.092995605;28.177;75;41006;;6351079;1
;12505361;0;ESTR06403-0;-17.9838468587;-45.0701624796;539.937;529.147;-17.9811253038;-45.0679635843;526.477;515.687;ESTR06404-8;MT-L-30220;-17.9824860845;-45.0690630235;536.587;525.797;10.362;-17.9825551168;-45.0691187986;537.096984863;526.306984863;10.276;-17.9838468587;-45.0701624796;539.937011719;529.147011719;28.403;75;41007;;6351080;1
;12505362;0;ESTR06404-8;-17.9810787633;-45.068026451;526.332;515.542;-17.9780670313;-45.0655953185;512.809;502.019;ESTR06405-5;MT-L-30220;-17.9795729012;-45.0668108744;512.907;502.117;12.267;-17.9791623093;-45.0664794372;513.624023438;502.834023438;9.934;-17.9810787633;-45.068026451;526.331970215;515.541970215;26.595;76;41008;;6351081;1
;12505363;0;ESTR06404-8;-17.9811718576;-45.0679006995;526.448;515.658;-17.9781621418;-45.0654666872;512.842;502.052;ESTR06405-5;MT-L-30220;-17.9796670037;-45.066683683;513.235;502.445;12.018;-17.9792709249;-45.0663633678;513.898010254;503.108010254;9.744;-17.9811718576;-45.0679006995;526.447998047;515.657998047;26.466;76;41009;;6351082;1
;12505364;0;ESTR06404-8;-17.9811253503;-45.0679635214;526.476;515.686;-17.9781146277;-45.0655309472;512.707;501.917;ESTR06405-5;MT-L-30220;-17.979619993;-45.066747224;512.892;502.102;12.699;-17.9792522981;-45.0664501383;513.87701416;503.08701416;10.144;-17.9811253503;-45.0679635214;526.476013184;515.686013184;26.718;76;41010;;6351083;1
;12505365;0;ESTR06405-5;-17.9781623933;-45.065466347;512.843;502.053;-17.9751683091;-45.0630024703;525.933;515.143;ESTR06406-3;MT-L-30220;-17.9766653553;-45.0642343983;512.658;501.868;14.014;-17.9773546808;-45.0648016575;512.534973145;501.744973145;12.228;-17.9751683091;-45.0630024703;525.932983398;515.142983398;29.983;77;41011;;6351084;1
;12505366;0;ESTR06405-5;-17.978114383;-45.0655312781;512.704;501.914;-17.9750996359;-45.0630953705;526.65;515.86;ESTR06406-3;MT-L-30220;-17.9766070134;-45.064313314;513.636;502.846;13.211;-17.9771437818;-45.0647470231;512.044006348;501.254006348;12.726;-17.9750996359;-45.0630953705;526.650024414;515.860024414;29.31;77;41012;;6351085;1
;12505367;0;ESTR06405-5;-17.9780674955;-45.0655946907;512.818;502.028;-17.9750306882;-45.0631886418;527.131;516.341;ESTR06406-3;MT-L-30220;-17.9765490957;-45.064391656;513.534;502.744;13.025;-17.9770139128;-45.0647599297;512.086975098;501.296975098;12.387;-17.9750306882;-45.0631886418;527.130981445;516.340981445;28.799;77;41013;;6351086;1
