VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12503166;0;ESTR03184-9;-20.1533499033;-47.2866454682;566.523;558.923;-20.1538441651;-47.285861158;573.108;565.508;PORT00126-3;MT-L-30205;-20.1535970346;-47.2862533138;567.883972168;560.283972168;35.09;-20.1538409083;-47.2858663261;573.12097168;565.52097168;29.13;-20.1533499033;-47.2866454682;566.523010254;558.923010254;38.929;56;38812;;6348885;1
;12503167;0;ESTR03184-9;-20.1533882813;-47.2867058305;566.653;559.053;-20.153931356;-47.2859322078;573.103;565.503;PORT00126-3;MT-L-30205;-20.153659819;-47.2863190199;567.544006348;559.944006348;24.728;-20.153882235;-47.2860021823;573.221984863;565.621984863;18.421;-20.1533882813;-47.2867058305;566.653015137;559.053015137;31.117;56;38813;;6348886;1
;12503168;0;ESTR03184-9;-20.1534231567;-47.2867606838;566.664;559.064;-20.1540230775;-47.2860069496;573.068;565.468;PORT00126-3;MT-L-30205;-20.1537231174;-47.2863838174;568.132995605;560.532995605;34.968;-20.1540165295;-47.2860151765;573.072998047;565.472998047;29.075;-20.1535510293;-47.2866000268;565.333984375;557.733984375;38.986;56;38814;;6348887;1
;12503169;0;ESTR03184-9;-20.1534381977;-47.2867843409;566.936;559.336;-20.1539767612;-47.2859692075;573.049;565.449;PORT00126-3;MT-L-30205;-20.1537074799;-47.286376775;568.015014648;560.415014648;25.263;-20.1539024768;-47.2860816401;572.901977539;565.301977539;20.786;-20.1534381977;-47.2867843409;566.935974121;559.335974121;31.15;56;38815;;6348888;1
;12503170;0;ESTR03184-9;-20.1533362768;-47.2866240359;566.419;558.819;-20.153889312;-47.2858979471;573.125;565.525;PORT00126-3;MT-L-30205;-20.1536127947;-47.2862609922;567.979980469;560.379980469;25.091;-20.1538566245;-47.2859408632;573.211975098;565.611975098;19.324;-20.1533362768;-47.2866240359;566.419006348;558.819006348;31.213;56;38816;;6348889;1
;12503171;0;ESTR03183-1;-20.1478519577;-47.2882591238;613.904;606.284;-20.1533486702;-47.2866435286;566.522;558.922;ESTR03184-9;MT-L-30205;-20.1506003148;-47.2874513379;557.932006836;550.322006836;42.282;-20.1485504217;-47.2880538363;604.674987793;597.054987793;25.549;-20.1491509554;-47.2878773307;558.526977539;550.906977539;59.907;55;38817;;6348890;1
;12503172;0;ESTR03183-1;-20.147881101;-47.2883747969;609.978;602.358;-20.1534221057;-47.2867590307;566.649;559.049;ESTR03184-9;MT-L-30205;-20.1506516042;-47.2875669256;557.929992676;550.319992676;41.967;-20.1485285912;-47.2881859926;603.257019043;595.637019043;28.032;-20.149111899;-47.2880159025;558.705993652;551.085993652;60.867;55;38818;;6348891;1
;12503173;0;ESTR03183-1;-20.1478664664;-47.2883167106;612.121;604.501;-20.1533870713;-47.2867039274;566.647;559.047;ESTR03184-9;MT-L-30205;-20.1506267697;-47.2875103307;557.92401123;550.31401123;24.137;-20.1485046704;-47.2881302713;604.565002441;596.945002441;15.809;-20.149133854;-47.2879464659;558.466003418;550.846003418;45.979;55;38819;;6348892;1
;12503174;0;ESTR03183-1;-20.1478861149;-47.2883946977;609.208;601.588;-20.1534360605;-47.2867809795;566.904;559.304;ESTR03184-9;MT-L-30205;-20.1506610886;-47.2875878504;557.909973145;550.299973145;23.577;-20.1485412519;-47.2882042132;602.736022949;595.116022949;16.89;-20.1491194083;-47.2880361101;558.296020508;550.676020508;46.58;55;38820;;6348893;1
;12503175;0;ESTR03183-1;-20.1478463663;-47.288236931;614.64;607.02;-20.1533353608;-47.2866225953;566.405;558.805;ESTR03184-9;MT-L-30205;-20.1505908644;-47.2874297748;557.940002441;550.330002441;24.256;-20.148535094;-47.2880343786;605.138977051;597.518977051;13.605;-20.1491646595;-47.2878492243;558.299011231;550.679011231;44.874;55;38821;;6348894;1
