VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12522221;0;;-20.018907233;-47.4397188853;577.451;569.331;-20.0190836829;-47.4399107575;575.535;567.415;ESTR05788-5;MT-L-30495;-20.018995458;-47.4398148214;576.353;568.233;13.643;-20.0189165199;-47.4397289838;577.49597168;569.37597168;12.191;-20.0190836829;-47.4399107575;575.534973145;567.414973145;15.614;0;57867;;6367940;1
;12522222;0;;-20.0188684567;-47.4397595453;577.484;569.364;-20.0189926394;-47.4399471291;575.297;567.177;ESTR05788-5;MT-L-30495;-20.0189305481;-47.4398533371;576.002;567.882;14.06;-20.0188749927;-47.4397694181;577.500976563;569.380976563;12.181;-20.0189926394;-47.4399471291;575.29699707;567.17699707;15.723;0;57868;;6367941;1
;12522223;0;ESTR05794-3;-20.0142320847;-47.4370439022;539.402;531.272;-20.0137709255;-47.4372077809;538.887;530.757;;MT-L-30495;-20.0140015051;-47.4371258417;539.29;531.16;24.335;-20.0137709255;-47.4372077809;538.887023926;530.757023926;16.841;-20.0142320847;-47.4370439022;539.401977539;531.271977539;34.613;7;57869;;6367942;1
;12522224;0;ESTR05794-3;-20.0142534754;-47.4369530747;538.868;530.738;-20.013731605;-47.4371581071;538.85;530.72;;MT-L-30495;-20.0139925402;-47.437055591;538.703;530.573;24.737;-20.013731605;-47.4371581071;538.849975586;530.719975586;16.506;-20.0142534754;-47.4369530747;538.867980957;530.737980957;35.793;7;57870;;6367943;1
;12522225;0;ESTR05794-3;-20.0142739241;-47.436852813;538.947;530.817;-20.0137108223;-47.4371016448;538.772;530.642;;MT-L-30495;-20.0139923732;-47.4369772291;538.617;530.487;24.75;-20.0137108223;-47.4371016448;538.771972656;530.641972656;16.611;-20.0142739241;-47.436852813;538.947021484;530.817021484;35.755;7;57871;;6367944;1
;12522226;0;ESTR05793-5;-20.0150177253;-47.4377720213;544.079;535.949;-20.0142522196;-47.4369592321;538.947;530.817;ESTR05794-3;MT-L-30495;-20.014634973;-47.4373656257;541.574;533.444;36.329;-20.0143793499;-47.437094214;540.390991211;532.260991211;33.767;-20.0150177253;-47.4377720213;544.078979492;535.948979492;47.684;6;57872;;6367945;1
;12522227;0;ESTR05793-5;-20.0150790618;-47.4377076564;544.14;536.02;-20.0142720042;-47.4368622261;538.907;530.777;ESTR05794-3;MT-L-30495;-20.0146755336;-47.4372849402;541.3;533.17;36.287;-20.0144742569;-47.4370740938;540.21697998;532.08697998;34.282;-20.0150790618;-47.4377076564;544.140014648;536.020014648;47.328;6;57873;;6367946;1
;12522228;0;ESTR05793-5;-20.0149579227;-47.4378347764;544.127;535.997;-20.0142338094;-47.4370494985;539.411;531.281;ESTR05794-3;MT-L-30495;-20.0145958666;-47.4374421366;541.71;533.58;36.185;-20.0143768403;-47.4372046101;540.92401123;532.79401123;33.404;-20.0149579227;-47.4378347764;544.12701416;535.99701416;47.347;6;57874;;6367947;1
;12522229;0;ESTR05792-7;-20.0159830625;-47.4387873025;560.041;551.921;-20.0150174297;-47.4377723314;544.084;535.954;ESTR05793-5;MT-L-30495;-20.015500247;-47.4382798154;553.493;545.373;31.76;-20.0157684581;-47.4385617314;561.130004883;553.010004883;27.151;-20.0150174297;-47.4377723314;544.083984375;535.953984375;47.316;5;57875;;6367948;1
;12522230;0;ESTR05792-7;-20.016065319;-47.4387359667;564.199;556.079;-20.0150771299;-47.4377096836;544.223;536.103;ESTR05793-5;MT-L-30495;-20.0155712254;-47.4382228236;555.292;547.172;29.76;-20.0158608667;-47.4385236312;564.380981445;556.260981445;24.098;-20.0150771299;-47.4377096836;544.223022461;536.103022461;46.837;5;57876;;6367949;1
