VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12518417;0;PORT00148-7;-20.0176086132;-47.4378441516;577.968;569.848;-20.0174132545;-47.4375647091;570.842;562.722;ESTR05785-1;MT-L-30494;-20.0175109339;-47.4377044302;574.01;574.01;24.034;-20.0175656817;-47.437782742;577.893005371;569.773005371;20.072;-20.0174132545;-47.4375647091;570.84197998;562.72197998;28.46;0;54063;;6364136;1
;12518418;0;PORT00148-7;-20.0175717289;-47.4378797829;578.007;569.887;-20.0173694907;-47.4376572007;573.415;565.295;ESTR05785-1;MT-L-30494;-20.0174706098;-47.4377684917;574.226;574.226;23.884;-20.0175610848;-47.437868068;578.002990723;569.882990723;20.122;-20.0173694907;-47.4376572007;573.414978027;565.294978027;25.856;0;54064;;6364137;1
;12518419;0;PORT00148-7;-20.0175300674;-47.4379240549;578.061;569.941;-20.0173329557;-47.4377355287;575.549;567.429;ESTR05785-1;MT-L-30494;-20.0174315116;-47.4378297918;575.011;575.011;23.256;-20.0175166802;-47.4379112507;578.010986328;569.890986328;20.249;-20.0173329557;-47.4377355287;575.54901123;567.42901123;23.763;0;54065;;6364138;1
;12518420;0;ESTR05787-7;-20.0140658796;-47.4372145202;539.292;531.162;-20.0138087363;-47.437322231;539.17;531.04;PORT00149-5;MT-L-30494;-20.0139373079;-47.4372683757;539.052;539.052;18.756;-20.0138087363;-47.437322231;539.16998291;531.03998291;17.23;-20.0140658796;-47.4372145202;539.291992188;531.161992188;20.559;3;54066;;6364139;1
;12518421;0;ESTR05787-7;-20.0140758458;-47.4372917311;539.623;531.493;-20.0138306367;-47.4373764801;539.28;531.15;PORT00149-5;MT-L-30494;-20.0139532413;-47.4373341056;539.189;539.189;18.655;-20.0138306367;-47.4373764801;539.280029297;531.150029297;16.671;-20.0140758458;-47.4372917311;539.62298584;531.49298584;19.92;3;54067;;6364140;1
;12518422;0;ESTR05787-7;-20.0140830141;-47.4373596792;540.236;532.106;-20.0138471606;-47.437439266;539.395;531.265;PORT00149-5;MT-L-30494;-20.0139650873;-47.4373994726;539.316;539.316;18.455;-20.0138471606;-47.437439266;539.395019531;531.265019531;16.973;-20.0140457741;-47.4373722456;539.111022949;530.981022949;19.992;3;54068;;6364141;1
;12518423;0;ESTR05786-9;-20.0152851593;-47.4374219569;543.584;535.464;-20.0140749774;-47.4372889186;539.597;531.467;ESTR05787-7;MT-L-30494;-20.0146800684;-47.4373554373;541.558;541.558;21.213;-20.0141631534;-47.4372986119;540.731018066;532.601018066;18.919;-20.0152851593;-47.4374219569;543.583984375;535.463984375;30.361;2;54069;;6364142;1
;12518424;0;ESTR05786-9;-20.0152929907;-47.4373417986;543.878;535.758;-20.014066228;-47.4372154166;539.302;531.172;ESTR05787-7;MT-L-30494;-20.0146796094;-47.4372786072;541.311;541.311;21.103;-20.0142409494;-47.4372334163;540.210998535;532.080998535;19.507;-20.0152929907;-47.4373417986;543.877990723;535.757990723;29.087;2;54070;;6364143;1
;12518425;0;ESTR05786-9;-20.0152773091;-47.4375023073;544.155;536.035;-20.0140836517;-47.4373617904;540.25;532.12;ESTR05787-7;MT-L-30494;-20.0146804804;-47.4374320484;541.871;541.871;20.531;-20.0142450561;-47.4373807906;540.732971191;532.602971191;18.922;-20.0152773091;-47.4375023073;544.155029297;536.035029297;28.864;2;54071;;6364144;1
;12518426;0;ESTR05785-1;-20.0173348055;-47.4377333467;575.532;567.412;-20.0152775432;-47.4374999109;544.151;536.031;ESTR05786-9;MT-L-30494;-20.0163061745;-47.4376166277;550.261;550.261;24.294;-20.0160510154;-47.4375876751;553.367980957;545.247980957;18.603;-20.0152797153;-47.4375001574;544.12298584;536.00298584;28.788;1;54072;;6364145;1
