VAL_ALTURA;COD_ID_CABO;COD_ID_PART_CABO;COD_ESTRUTURA_INI_SAP;NUM_LATITUDE_ESTRUTURA_INI;NUM_LONGITUDE_ESTRUTURA_INI;NUM_ALTITUDE_ORT_ESTRUTURA_INI;NUM_ALTITUDE_GEO_ESTRUTURA_INI;NUM_LATITUDE_ESTRUTURA_FIM;NUM_LONGITUDE_ESTRUTURA_FIM;NUM_ALTITUDE_ORT_ESTRUTURA_FIM;NUM_ALTITUDE_GEO_ESTRUTURA_FIM;COD_ESTRUTURA_FIM_SAP;COD_LT_SAP;NUM_ALTITUDE_PTO_MEDIO_VAO;NUM_LONGITUDE_PTO_MEDIO_VAO;NUM_ALTITUDE_ORT_CB_MED;NUM_ALTITUDE_GEO_CB_ME;VAL_DISTANCIA_PTO_MEDIO;NUM_LATITUDE_PT_MI_VAO;NUM_LONGITUDE_PT_MI_VAO;NUM_ALTITUDE_ORT_CB_MI;NUM_ALTITUDE_GEO_CB_MI;VAL_DISTANCIA_PTO_MIN;NUM_LATITUDE_PT_MA_VAO;NUM_LONGITUDE_PT_MA_VAO;NUM_ALTITUDE_ORT_CB_MA;NUM_ALTITUDE_GEO_CB_MA;VAL_DISTANCIA_PTO_MAX;NUM_ID_SEQUENCIA;ID_CABO;NOM_LT_SAP;OBJECTID;TAG_ATIVO
;12494011;0;ESTR07553-1;-21.1701613192;-43.7673060088;1123.447;1119.847;-21.1724308639;-43.763502614;1135.014;1131.414;ESTR07554-9;MT-L-30209;-21.171296103;-43.7654043255;1102.43994141;1098.83994141;27.493;-21.1707486147;-43.7663218209;1124.59399414;1120.99399414;8.999;-21.1701591966;-43.7673049058;1123.41101074;1119.81101074;24.698;554;29657;;6339730;1
;12494012;0;ESTR07553-1;-21.1702859413;-43.7673707629;1124.586;1120.986;-21.1725605519;-43.7635910012;1129.226;1125.626;ESTR07554-9;MT-L-30209;-21.171423258;-43.7654808962;1101.88195801;1098.28195801;28.112;-21.1706145456;-43.7668247315;1130.03295898;1126.43295898;8.508;-21.1719973564;-43.7642291241;1107.91699219;1104.31699219;30.744;554;29658;;6339731;1
;12494013;0;ESTR07553-1;-21.1702234076;-43.7673382701;1124.193;1120.593;-21.1724969899;-43.7635476814;1132.151;1128.551;ESTR07554-9;MT-L-30209;-21.1713602102;-43.7654429898;1102.16503906;1098.56503906;28.112;-21.170842122;-43.7663067559;1123.24304199;1119.64304199;10.168;-20.511698297;-45.5973200162;806.677978516;800.207978516;18.012;554;29659;;6339732;1
;12494014;0;ESTR07554-9;-21.1724313444;-43.7635029415;1134.998;1131.398;-21.1741843298;-43.7605499721;1179.208;1175.598;ESTR07555-6;MT-L-30209;-21.173307844;-43.7620264653;1139.97497559;1136.37497559;24.543;-21.1727210272;-43.7630149712;1140.4510498;1136.8510498;12.756;-21.1720470083;-43.7642979261;1107.21496582;1103.61496582;31.338;555;29660;;6339733;1
;12494015;0;ESTR07554-9;-21.1725606843;-43.7635910915;1129.218;1125.618;-21.1742964977;-43.7607000746;1177.772;1174.162;ESTR07555-6;MT-L-30209;-21.1734285976;-43.7621455912;1128.57202148;1124.97202148;36.164;-21.1740277744;-43.7611476463;1168.63000488;1165.02000488;18.729;-21.1731926121;-43.7622205774;1134.24694824;1130.64694824;27.197;555;29661;;6339734;1
;12494016;0;ESTR07554-9;-21.1724973449;-43.7635479233;1132.127;1128.527;-21.1742436673;-43.7606293771;1178.701;1175.091;ESTR07555-6;MT-L-30209;-21.1733705128;-43.7620886585;1134.51098633;1130.91098633;30.353;-21.1727595313;-43.7631097536;1136.47998047;1132.87998047;16.695;-21.1733666005;-43.7622488482;1124.51098633;1120.91098633;38.511;555;29662;;6339735;1
;12494017;0;ESTR07555-6;-21.1742970238;-43.7607007785;1177.768;1174.158;-21.1798038411;-43.7585961455;1112.68;1109.07;ESTR07556-4;MT-L-30209;-21.1770504371;-43.7596484828;1108.71704102;1105.10704102;16.994;-21.1776501774;-43.7594192688;1109.17004395;1105.56004395;10.673;-21.1733109803;-43.7621881524;1129.4510498;1125.8510498;33.769;556;29663;;6339736;1
;12494018;0;ESTR07555-6;-21.1742444498;-43.7606304242;1178.688;1175.078;-21.1797782229;-43.7585200666;1114.262;1110.652;ESTR07556-4;MT-L-30209;-21.1770113411;-43.7595752663;1107.01904297;1103.40904297;18.96;-21.1751039663;-43.7603026513;1158.71801758;1155.10801758;10.747;-21.1781259617;-43.759237428;1090.2779541;1086.6679541;27.588;556;29664;;6339737;1
;12494019;0;ESTR07555-6;-21.1741849462;-43.7605507969;1179.202;1175.592;-21.1797519482;-43.7584420379;1115.042;1111.432;ESTR07556-4;MT-L-30209;-21.1769684519;-43.7594964384;1105.71105957;1102.10105957;20.127;-21.1750781747;-43.7602124577;1159.00305176;1155.39305176;9.424;-21.1781423122;-43.7591439558;1090.50402832;1086.89402832;27.464;556;29665;;6339738;1
;12494020;0;ESTR07556-4;-21.1797518481;-43.7584417408;1115.046;1111.436;-21.181676903;-43.7577018381;1095.195;1091.585;ESTR07669-5;MT-L-30209;-21.1807143761;-43.758071792;1089.45605469;1085.84605469;33.298;-21.1799986503;-43.7583468826;1115.78503418;1112.17503418;11.226;-21.178171122;-43.7590408673;1090.68103027;1087.07103027;27.099;557;29666;;6339739;1
