VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
0;PORT00133-9;Pórtico Inicial;MT-L-39609;;-19.11503976;-42.73006671;398.53;0;0;1;1;;;;;;1604345;Pórtico Inicial : 
0;ESTR12478-4;ESTRUTURA 297A;MT-L-39609;;-19.11585543;-42.730638;399.48;0;1;1;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604346;ESTRUTURA 297A : 
0;ESTR12479-2;ESTRUTURA 296A;MT-L-39609;;-19.11747458;-42.73061719;417.45;0;2;1;1;S2DSL;Suspensão;Autoportante;Circuito Duplo;Vertical;1604347;ESTRUTURA 296A : 
0;ESTR12480-0;ESTRUTURA 295A;MT-L-39609;;-19.11932785;-42.73059337;443.57;0;3;1;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604348;ESTRUTURA 295A : 
0;ESTR12481-8;ESTRUTURA 294A;MT-L-39609;;-19.11971459;-42.7303336;437.8;0;4;1;1;S2DAT;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604349;ESTRUTURA 294A : 
0;ESTR12482-6;ESTRUTURA 293A;MT-L-39609;;-19.1199049;-42.73020578;428.43;0;5;1;1;S2DTE;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604350;ESTRUTURA 293A : 
22.032009766;ESTR02840-7;ESTRUTURA 292;MT-L-39609;;-19.1212776554;-42.7337740754;458.36499;447.235;6;1;1;N;Suspensão;Autoportante;Circuito Simples;Horizontal;1604351;ESTRUTURA 292 : 
14.635010498;ESTR02839-9;ESTRUTURA 291;MT-L-39609;;-19.1246095743;-42.7361884555;503.90799;492.788;7;1;1;N;Suspensão;Autoportante;Circuito Simples;Horizontal;1604352;ESTRUTURA 291 : 
22.982000977;ESTR02838-1;ESTRUTURA 290;MT-L-39609;;-19.1304695742;-42.7404447943;447.598999;436.479;8;1;1;N;Suspensão;Autoportante;Circuito Simples;Horizontal;1604353;ESTRUTURA 290 : 
23.338992432;ESTR02837-3;ESTRUTURA 289;MT-L-39609;;-19.1322462193;-42.7417337125;474.764008;463.644;9;1;1;N;Suspensão;Autoportante;Circuito Simples;Horizontal;1604354;ESTRUTURA 289 : 
