VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
13.522;PORT00022-4;Pórtico Mesquita;MT-L-39279;;-19.417367451;-42.5475778969;307.522;296.452;0;1;1;;;;;;1604196;Pórtico Mesquita : 
33.119;ESTR11474-4;ESTRUTURA 1A;MT-L-39279;;-19.4178330416;-42.5473399983;306.89;295.82;1;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604197;ESTRUTURA 1A : 
37.088;ESTR11475-1;ESTRUTURA 2;MT-L-39279;;-19.4222091091;-42.5460174492;364.629;353.569;2;2;1;TS42;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604198;ESTRUTURA 2 : 
37.272;ESTR11476-9;ESTRUTURA 3;MT-L-39279;;-19.4239729592;-42.5455530249;366.493;355.433;3;2;1;TS42;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604199;ESTRUTURA 3 : 
29.948;ESTR11477-7;ESTRUTURA 4;MT-L-39279;;-19.4288144328;-42.5446398175;291.174;280.124;4;2;1;T41;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604200;ESTRUTURA 4 : 
25.096;ESTR11478-5;ESTRUTURA 5;MT-L-39279;;-19.4314678236;-42.5431349318;268.661;257.621;5;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1604201;ESTRUTURA 5 : 
11.876;ESTR11479-3;ESTRUTURA 3A;MT-L-39279;;-19.4314948802;-42.5426228606;272.232;261.192;6;1;1;T8;Ancoragem;Autoportante;Circuito Simples;Horizontal;1604202;ESTRUTURA 3A : 
20.722;ESTR11480-1;ESTRUTURA 4B;MT-L-39279;;-19.4305312342;-42.5407271663;293.307;282.257;7;1;1;S6;Suspensão;Autoportante;Circuito Simples;Horizontal;1604203;ESTRUTURA 4B : 
26.197;ESTR11481-9;ESTRUTURA 5B;MT-L-39279;;-19.4281394312;-42.5360186151;252.385;241.335;8;1;1;S6;Suspensão;Autoportante;Circuito Simples;Horizontal;1604204;ESTRUTURA 5B : 
23.193;ESTR11482-7;ESTRUTURA 6A;MT-L-39279;;-19.4259435176;-42.5316988808;267.367;256.317;9;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604205;ESTRUTURA 6A : 
19.984;ESTR11483-5;ESTRUTURA 7A;MT-L-39279;;-19.4243844034;-42.5286278168;291.857;280.797;10;1;1;T6;Ancoragem;Autoportante;Circuito Simples;Horizontal;1604206;ESTRUTURA 7A : 
22.694;ESTR11484-3;ESTRUTURA 8;MT-L-39279;;-19.4231931044;-42.5262819851;276.829;265.769;11;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604207;ESTRUTURA 8 : 
14.227;ESTR11485-0;ESTRUTURA 9;MT-L-39279;;-19.4211768221;-42.5223296251;249.069;238.009;12;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604208;ESTRUTURA 9 : 
23.466;ESTR11486-8;ESTRUTURA 10;MT-L-39279;;-19.4198132381;-42.519638297;236.695;225.635;13;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604209;ESTRUTURA 10 : 
23.253;ESTR11487-6;ESTRUTURA 11;MT-L-39279;;-19.4169306758;-42.5139413368;297.686;286.626;14;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604210;ESTRUTURA 11 : 
14.835;ESTR11488-4;ESTRUTURA 12;MT-L-39279;;-19.4150247139;-42.5101898111;303.408;292.348;15;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604211;ESTRUTURA 12 : 
14.458;ESTR11490-0;ESTRUTURA 14;MT-L-39279;;-19.4133557715;-42.5069032526;316.622;305.552;17;1;1;T6;Ancoragem;Autoportante;Circuito Simples;Horizontal;1604212;ESTRUTURA 14 : 
23.596;ESTR11492-6;ESTRUTURA 15;MT-L-39279;;-19.4091821368;-42.4987289808;309.824;298.754;18;1;1;T7;Ancoragem;Autoportante;Circuito Simples;Horizontal;1604213;ESTRUTURA 15 : 
23.287;ESTR11493-4;ESTRUTURA 16A;MT-L-39279;;-19.4056669359;-42.4955654885;268.818;257.748;19;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604214;ESTRUTURA 16A : 
26.096;ESTR11494-2;ESTRUTURA 17;MT-L-39279;;-19.4033925353;-42.4935351173;248.733;237.653;20;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604215;ESTRUTURA 17 : 
29.986;ESTR11495-9;ESTRUTURA 18A;MT-L-39279;;-19.3978139995;-42.4885538349;300.681;289.591;21;1;1;AX3;Suspensão;Autoportante;Circuito Simples;Horizontal;1604216;ESTRUTURA 18A : 
30.253;ESTR11496-7;ESTRUTURA 19;MT-L-39279;;-19.3927217561;-42.4839945266;223.622;212.522;22;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604217;ESTRUTURA 19 : 
20.381;ESTR11497-5;ESTRUTURA 20;MT-L-39279;;-19.3902411764;-42.4817846606;229.788;218.688;23;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604218;ESTRUTURA 20 : 
15.229;ESTR11498-3;ESTRUTURA 21;MT-L-39279;;-19.3864671407;-42.4784076348;252.438;241.328;24;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604219;ESTRUTURA 21 : 
15.008;ESTR11499-1;ESTRUTURA 22;MT-L-39279;;-19.3840178495;-42.4762170545;275.731;264.621;25;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604220;ESTRUTURA 22 : 
15.157;ESTR11500-6;ESTRUTURA 23;MT-L-39279;;-19.3827017514;-42.4750461387;282.246;271.136;26;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604221;ESTRUTURA 23 : 
30.167;ESTR11501-4;ESTRUTURA 24;MT-L-39279;;-19.3794566752;-42.4721413937;293.258;282.138;27;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604222;ESTRUTURA 24 : 
17.37;ESTR11502-2;ESTRUTURA 25A;MT-L-39279;;-19.3759729204;-42.4690279872;267.797;256.677;28;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604223;ESTRUTURA 25A : 
14.545;ESTR11503-0;ESTRUTURA 26;MT-L-39279;;-19.3742326487;-42.4674836205;258.973;247.853;29;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604224;ESTRUTURA 26 : 
17.404;ESTR11504-8;ESTRUTURA 27;MT-L-39279;;-19.3712512022;-42.4648095621;259.656;248.526;30;1;1;S4;Suspensão;Autoportante;Circuito Simples;Horizontal;1604225;ESTRUTURA 27 : 
17.671;ESTR11505-5;ESTRUTURA 28A;MT-L-39279;;-19.3696017719;-42.4633348873;246.372;235.242;31;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604226;ESTRUTURA 28A : 
23.457;ESTR11506-3;ESTRUTURA 29;MT-L-39279;;-19.3661422394;-42.4602475325;217.633;206.503;32;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604227;ESTRUTURA 29 : 
17.755;ESTR11507-1;ESTRUTURA 30;MT-L-39279;;-19.3636823678;-42.4580512341;217.077;205.947;33;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604228;ESTRUTURA 30 : 
14.729;ESTR11508-9;ESTRUTURA 31;MT-L-39279;;-19.3593759116;-42.4542092202;303.19;292.06;34;1;1;S6;Suspensão;Autoportante;Circuito Simples;Horizontal;1604229;ESTRUTURA 31 : 
14.982;ESTR11509-7;ESTRUTURA 32;MT-L-39279;;-19.3552845527;-42.4505434868;299.255;288.125;35;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604230;ESTRUTURA 32 : 
17.871;ESTR11510-5;ESTRUTURA 33;MT-L-39279;;-19.351288914;-42.4469680613;281.461;270.331;36;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604231;ESTRUTURA 33 : 
17.96;ESTR11511-3;ESTRUTURA 34A;MT-L-39279;;-19.3481198521;-42.4441367979;271.096;259.966;37;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604232;ESTRUTURA 34A : 
24.066;ESTR11512-1;ESTRUTURA 35;MT-L-39279;;-19.3463871788;-42.442586995;248.472;237.352;38;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604233;ESTRUTURA 35 : 
20.919;ESTR11513-9;ESTRUTURA 36;MT-L-39279;;-19.342168892;-42.4388071091;213.915;202.795;39;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604234;ESTRUTURA 36 : 
29.673;ESTR11514-7;ESTRUTURA 37;MT-L-39279;;-19.3396425213;-42.4365467313;207.605;196.485;40;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604235;ESTRUTURA 37 : 
26.304;ESTR11515-4;ESTRUTURA 38;MT-L-39279;;-19.336057252;-42.4333452546;219.801;208.681;41;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604236;ESTRUTURA 38 : 
23.594;ESTR11516-2;ESTRUTURA 39A;MT-L-39279;;-19.3329007037;-42.4305145562;210.248;199.128;42;1;1;S5;Suspensão;Autoportante;Circuito Simples;Horizontal;1604237;ESTRUTURA 39A : 
