VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
0;PORT00131-3;Pórtico Itabira 5;MT-L-39625;;-19.5991367222;-43.3336745167;774.31;0;0;0;1;;;;;;1615860;Pórtico Itabira 5 : 
0;ESTR12469-3;ESTRUTURA 001;MT-L-39625;;-19.5986000639;-43.3329074389;751.11;0;1;0;1;M52TV;Ancoragem;Autoportante;Circuito Simples;Vertical;1615861;ESTRUTURA 001 : 
0;ESTR12470-1;ESTRUTURA 002;MT-L-39625;;-19.5956010722;-43.3325693833;748.65;0;2;0;1;M52AT;Ancoragem;Autoportante;Circuito Simples;Horizontal;1615862;ESTRUTURA 002 : 
0;ESTR12471-9;ESTRUTURA 003;MT-L-39625;;-19.5930230694;-43.3333232194;759.1;0;3;0;1;M52SP;Suspensão;Autoportante;Circuito Simples;Horizontal;1615863;ESTRUTURA 003 : 
0;ESTR12472-7;ESTRUTURA 004;MT-L-39625;;-19.5914069806;-43.3337957639;804.61;0;4;0;1;M52T90;Ancoragem;Autoportante;Circuito Simples;Horizontal;1615864;ESTRUTURA 004 : 
23.472;ESTR07209-0;ESTRUTURA 197;MT-L-39625;;-19.5899937924;-43.3299768667;825.234;816.574;5;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615865;ESTRUTURA 197 : 
42.837;ESTR07210-8;ESTRUTURA 198;MT-L-39625;;-19.5884644341;-43.325860755;823.55;814.87;6;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615866;ESTRUTURA 198 : 
35.894;ESTR07211-6;ESTRUTURA 199;MT-L-39625;;-19.5857319239;-43.318447906;874.888;866.178;7;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615867;ESTRUTURA 199 : 
22.084;ESTR07212-4;ESTRUTURA 200;MT-L-39625;;-19.5851213055;-43.3167947004;929.063;920.343;8;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615868;ESTRUTURA 200 : 
22.22;ESTR07213-2;ESTRUTURA 201;MT-L-39625;;-19.5830804066;-43.3106998147;911.972;903.222;9;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615869;ESTRUTURA 201 : 
33.769;ESTR07214-0;ESTRUTURA 202;MT-L-39625;;-19.5819279322;-43.3072596826;874.445;865.685;10;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615870;ESTRUTURA 202 : 
22.253;ESTR07215-7;ESTRUTURA 203;MT-L-39625;;-19.580707664;-43.3036117834;904.132;895.352;11;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615871;ESTRUTURA 203 : 
22.393;ESTR07216-5;ESTRUTURA 204;MT-L-39625;;-19.5797959933;-43.3008892098;893.211;884.421;12;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615872;ESTRUTURA 204 : 
22.467;ESTR07217-3;ESTRUTURA 205;MT-L-39625;;-19.5785777418;-43.2972536032;877.962;869.152;13;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615873;ESTRUTURA 205 : 
30.259;ESTR07218-1;ESTRUTURA 206;MT-L-39625;;-19.5772356474;-43.2932429804;882.844;874.014;14;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615874;ESTRUTURA 206 : 
32.018;ESTR07219-9;ESTRUTURA 207;MT-L-39625;;-19.5759192282;-43.2893147463;851.445;842.595;15;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615875;ESTRUTURA 207 : 
26.591;ESTR07220-7;ESTRUTURA 208;MT-L-39625;;-19.5753006969;-43.2874657577;854.619;845.759;16;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615876;ESTRUTURA 208 : 
23.322;ESTR07221-5;ESTRUTURA 209;MT-L-39625;;-19.5740969785;-43.2838741256;852.098;843.218;17;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615877;ESTRUTURA 209 : 
24.262;ESTR07222-3;ESTRUTURA 210;MT-L-39625;;-19.5730281907;-43.2806838503;851.665;842.775;18;1;1;CS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615878;ESTRUTURA 210 : 
32.247;ESTR07223-1;ESTRUTURA 211;MT-L-39625;;-19.5716627123;-43.2766084022;868.537;859.627;19;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615879;ESTRUTURA 211 : 
24.885;ESTR06447-7;ESTRUTURA 212;MT-L-39625;;-19.56977496;-43.2709921862;904.379;895.449;20;1;1;ES;Suspensão;Autoportante;Circuito Simples;Horizontal;1615880;ESTRUTURA 212 : 
44.155;ESTR06448-5;ESTRUTURA 213;MT-L-39625;;-19.567630005;-43.2646099375;871.314;862.354;21;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615881;ESTRUTURA 213 : 
30.952;ESTR06449-3;ESTRUTURA 214;MT-L-39625;;-19.5666700701;-43.2617050484;915.929;906.959;22;1;1;DS;Suspensão;Autoportante;Circuito Simples;Horizontal;1615882;ESTRUTURA 214 : 
