VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
35.659;ESTR05466-8;ESTRUTURA 016;MT-L-30403;;-19.4545868581;-42.5547201943;245.194;234.194;7;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605402;ESTRUTURA 016 : 
30.489004;ESTR05465-0;ESTRUTURA 015;MT-L-30403;;-19.451062907;-42.5551098401;243.201996;232.191996;6;2;1;FA;Suspensão;Autoportante;Circuito Duplo;Vertical;1605403;ESTRUTURA 015 : 
23.559994;ESTR05464-3;ESTRUTURA 014;MT-L-30403;;-19.4476907793;-42.5554875125;245.031006;234.021006;5;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605404;ESTRUTURA 014 : 
34.545003;ESTR05463-5;ESTRUTURA 013;MT-L-30403;;-19.4446903379;-42.5558195998;247.365997;236.345997;4;2;1;FA;Suspensão;Autoportante;Circuito Duplo;Vertical;1605405;ESTRUTURA 013 : 
23.679001;ESTR05462-7;ESTRUTURA 012;MT-L-30403;;-19.4417227308;-42.5561584592;251.432999;240.412999;3;2;1;M;Suspensão;Autoportante;Circuito Duplo;Vertical;1605406;ESTRUTURA 012 : 
39.133985;ESTR05461-9;ESTRUTURA 011;MT-L-30403;;-19.4394054116;-42.5562318656;272.515015;261.485015;2;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605407;ESTRUTURA 011 : 
46.733;ESTR05460-1;ESTRUTURA 010A;MT-L-30403;;-19.4390258123;-42.5565215685;271.754;260.724;1;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605408;ESTRUTURA 010A : 
32.319996;ESTR05467-6;ESTRUTURA 017;MT-L-30403;;-19.4580116192;-42.5543411597;244.729004;233.739004;8;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605409;ESTRUTURA 017 : 
30.113003;ESTR05468-4;ESTRUTURA 018;MT-L-30403;;-19.4611284907;-42.5539955879;236.158997;225.168997;9;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605410;ESTRUTURA 018 : 
26.379007;ESTR05469-2;ESTRUTURA 019;MT-L-30403;;-19.46611315;-42.5534433989;282.942993;271.962993;10;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605411;ESTRUTURA 019 : 
26.262002;ESTR05470-0;ESTRUTURA 020;MT-L-30403;;-19.4673048533;-42.5533125095;300.697998;289.717998;11;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605412;ESTRUTURA 020 : 
33.986997;ESTR05471-8;ESTRUTURA 021;MT-L-30403;;-19.4724402042;-42.5528174261;241.147003;230.177003;12;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605413;ESTRUTURA 021 : 
34.439995;ESTR05472-6;ESTRUTURA 022;MT-L-30403;;-19.4754344191;-42.5524914386;241.255005;230.295005;13;2;1;F;Suspensão;Autoportante;Circuito Duplo;Vertical;1605414;ESTRUTURA 022 : 
26.598987;ESTR05473-4;ESTRUTURA 023;MT-L-30403;;-19.4793644429;-42.5520665352;261.782013;250.832013;14;2;1;M;Suspensão;Autoportante;Circuito Duplo;Vertical;1605415;ESTRUTURA 023 : 
37.753014;ESTR05474-2;ESTRUTURA 024;MT-L-30403;;-19.4798874924;-42.5519107003;261.053986;250.103986;15;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605416;ESTRUTURA 024 : 
43.866015;ESTR05475-9;ESTRUTURA 025;MT-L-30403;;-19.4811706846;-42.5502459223;311.971985;301.021985;16;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605417;ESTRUTURA 025 : 
34.371988;ESTR05476-7;ESTRUTURA 026;MT-L-30403;;-19.4821458753;-42.5506280966;299.187012;288.237012;17;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605418;ESTRUTURA 026 : 
25.143;PORT00140-4;Pórtico Ipatinga 1;MT-L-30403;;-19.4394616967;-42.5571365461;273.49;262.46;0;1;1;;;;;;1605419;Pórtico Ipatinga 1 : 
25.143;PORT00141-2;Pórtico Usiminas;MT-L-30403;;-19.4848740239;-42.5480709688;273.49;262.55;20;1;1;;;;;;1605420;Pórtico Usiminas : 
15.259;ESTR05478-3;ESTRUTURA 028;MT-L-30403;;-19.4847694054;-42.5483813186;244.068;233.128;19;1;1;T6;Ancoragem;Autoportante;Circuito Simples;Horizontal;1605421;ESTRUTURA 028 : 
31.959998;ESTR05477-5;ESTRUTURA 027;MT-L-30403;;-19.4843942199;-42.5486137605;244.080002;233.140002;18;2;1;T43;Ancoragem;Autoportante;Circuito Duplo;Vertical;1605422;ESTRUTURA 027 : 
