VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
27.782;PORT00148-7;Pórtico Jaguara 345 kV;MT-L-30494;;-20.0175819016;-47.4378972642;577.942;569.822;0;1;1;;;;;;1614588;Pórtico Jaguara 345 kV : 
23.085;PORT00149-5;Pórtico Jaguara 500 kV;MT-L-30494;;-20.0138160568;-47.4373917562;539.269;531.139;4;1;1;;;;;;1614589;Pórtico Jaguara 500 kV : 
26.463;ESTR05787-7;ESTRUTURA 003;MT-L-30494;;-20.0140752965;-47.437291719;539.623;531.493;3;1;1;CX1-A;Suspensão;Autoportante;Circuito Simples;Horizontal;1614590;ESTRUTURA 003 : 
33.679;ESTR05786-9;ESTRUTURA 002;MT-L-30494;;-20.0152854451;-47.4374191244;543.563;535.443;2;1;1;AX3;Suspensão;Autoportante;Circuito Simples;Horizontal;1614591;ESTRUTURA 002 : 
27.596;ESTR05785-1;ESTRUTURA 001;MT-L-30494;;-20.0173717038;-47.4376558577;573.441;565.321;1;1;1;DX1-A;Ancoragem;Autoportante;Circuito Simples;Horizontal;1614592;ESTRUTURA 001 : 
