VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
0;ESTR12699-5;ESTRUTURA 121A;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.4105871928;-43.8440428763;1169.63;2;53;1;1;;;;;;1606827;ESTRUTURA 121A : LT Itabirito 2 - Ouro Preto 2 - 500 KV
26.862997559;PORT00111-5;Pórtico Inicial;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3286875288;-43.7866649626;966.447;961.537;0;0;1;;;;;;1611644;Pórtico Inicial : LT Itabirito 2 - Ouro Preto 2 - 500 KV
38.343004395;ESTR12461-0;ESTRUTURA 001;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3280188676;-43.7869351186;957.399;952.479;1;0;1;T;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611645;ESTRUTURA 001 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
29.88197656;ESTR12462-8;ESTRUTURA 002;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3257470252;-43.7878333469;1005.994;1001.074;2;0;1;T;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611646;ESTRUTURA 002 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
39.534990723;ESTR12463-6;ESTRUTURA 003;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3210206854;-43.7866655258;900.968;896.018;3;0;1;AT;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611647;ESTRUTURA 003 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
42.952994629;ESTR12464-4;ESTRUTURA 004;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3144023877;-43.7850245008;907.529;902.549;4;0;1;T;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611648;ESTRUTURA 004 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
27.734980957;ESTR12465-1;ESTRUTURA 005;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3116141126;-43.7861639185;919.883;914.893;5;0;1;T;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611649;ESTRUTURA 005 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
39.240007813;ESTR12466-9;ESTRUTURA 006;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.310442402;-43.7863927123;888.593;883.603;6;0;1;T90;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611650;ESTRUTURA 006 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
43.78698438;ESTR02390-3;ESTRUTURA 916;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3097329206;-43.7824209709;984.047;979.047;7;0;1;LY;Suspensão;Estaiada;Circuito Simples;Horizontal;1611651;ESTRUTURA 916 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
23.26099902;ESTR02391-1;ESTRUTURA 917;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3095133261;-43.781187816;1022.588;1017.588;8;0;1;AT;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611652;ESTRUTURA 917 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
29.804;ESTR02392-9;ESTRUTURA 918;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3061629133;-43.7744245225;1077.946;1072.916;9;0;1;MY;Suspensão;Estaiada;Circuito Simples;Horizontal;1611653;ESTRUTURA 918 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
41.67705273;ESTR02393-7;ESTRUTURA 919;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3045085474;-43.7710796315;1110.727;1105.687;10;0;1;SX;Suspensão;Estaiada;Circuito Simples;Horizontal;1611654;ESTRUTURA 919 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
28.90795996;ESTR02394-5;ESTRUTURA 920;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.3027621711;-43.7675663346;1105.776;1100.726;11;0;1;MX;Suspensão;Estaiada;Circuito Simples;Horizontal;1611655;ESTRUTURA 920 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
38.34296484;ESTR02395-2;ESTRUTURA 921;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.2998487503;-43.7616844936;1079.721;1074.651;12;0;1;LX;Suspensão;Estaiada;Circuito Simples;Horizontal;1611656;ESTRUTURA 921 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
34.55396484;ESTR02396-0;ESTRUTURA 922;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.2992429958;-43.7604655092;1083.51;1078.44;13;0;1;BT1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1611657;ESTRUTURA 922 : LT Itabirito 2 - Ouro Preto 2 - 500 KV
25.44599023;PORT00085-1;Pórtico Final;MT-L-39483;LT Itabirito 2 - Ouro Preto 2 - 500 KV;-20.2983670281;-43.7598134819;1067.419;1062.349;14;0;1;;;;;;1611658;Pórtico Final : LT Itabirito 2 - Ouro Preto 2 - 500 KV
