VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
42.817993164;ESTR07671-1;ESTRUTURA 001;MT-L-30210;;-19.8250954262;-44.1036602174;926.554992676;919.964992676;1;1;1;DEX1;Ancoragem;Autoportante;Circuito Duplo;Vertical;1608189;ESTRUTURA 001 : 
35.866027832;ESTR07672-9;ESTRUTURA 002;MT-L-30210;;-19.8254024888;-44.1020710904;941.315979004;934.725979004;2;1;1;EX1;Ancoragem;Autoportante;Circuito Simples;Horizontal;1608190;ESTRUTURA 002 : 
30.291015625;ESTR07673-7;ESTRUTURA 003;MT-L-30210;;-19.8255658322;-44.1012971276;944.583984375;937.993984375;3;1;1;DX1-A;Ancoragem;Autoportante;Circuito Simples;Horizontal;1608191;ESTRUTURA 003 : 
23.677001953;ESTR07674-5;ESTRUTURA 004;MT-L-30210;;-19.8237846342;-44.0968259631;934.252990723;927.662990723;4;1;1;AX4;Suspensão;Autoportante;Circuito Simples;Horizontal;1608192;ESTRUTURA 004 : 
31.054016114;ESTR07675-2;ESTRUTURA 005;MT-L-30210;;-19.8226307998;-44.0939370151;937.278991699;930.678991699;5;1;1;DX1-A;Ancoragem;Autoportante;Circuito Simples;Horizontal;1608193;ESTRUTURA 005 : 
40.928039551;ESTR07676-0;ESTRUTURA 006;MT-L-30210;;-19.8214442692;-44.0936778338;933.510986328;926.910986328;6;1;1;AX4;Suspensão;Autoportante;Circuito Simples;Horizontal;1608194;ESTRUTURA 006 : 
37.258972168;ESTR07677-8;ESTRUTURA 007;MT-L-30210;;-19.8176986788;-44.0928293175;904.289001465;897.679001465;7;1;1;AX4;Suspensão;Autoportante;Circuito Simples;Horizontal;1608195;ESTRUTURA 007 : 
22.403991699;ESTR07678-6;ESTRUTURA 008;MT-L-30210;;-19.8133033692;-44.0918369097;927.625;920.995;8;1;1;DX1-A;Ancoragem;Autoportante;Circuito Simples;Horizontal;1608196;ESTRUTURA 008 : 
18.894958496;ESTR07679-4;ESTRUTURA 009;MT-L-30210;;-19.8124234505;-44.0896108218;913.869018555;907.239018555;9;1;1;AX3;Suspensão;Autoportante;Circuito Simples;Horizontal;1608197;ESTRUTURA 009 : 
20.026977539;ESTR07680-2;ESTRUTURA 010;MT-L-30210;;-19.8117709719;-44.0879516057;903.093017578;896.453017578;10;1;1;AX3;Suspensão;Autoportante;Circuito Simples;Horizontal;1608198;ESTRUTURA 010 : 
29.510009765;ESTR07681-0;ESTRUTURA 011;MT-L-30210;;-19.8101210153;-44.0837826154;879.179992676;872.529992676;11;1;1;AX4;Suspensão;Autoportante;Circuito Simples;Horizontal;1608199;ESTRUTURA 011 : 
