VAL_ALTURA;COD_ESTRUTURA_SAP;NOM_ESTRUTURA_SAP;COD_LT_SAP;NOM_LT_SAP;NUM_LATITUDE;NUM_LONGITUDE;NUM_ALTITUDE_ORT;NUM_ALTITUDE_GEO;NUM_ID_SEQUENCIA;NUM_QTD_CIRCUITOS;TAG_ATIVO;DES_TIP_ESTRUTURA;DES_CARACTERISTICA1;DES_CARACTERISTICA2;DES_TIP_CIRCUITO;DES_DISPOSICAO_FASES_CIRCUITO_A;OBJECTID;Custom
1064.34;PORT00089-3;Pórtico Lafaiete;MT-L-39247;;-20.6627661727;-43.8236332347;1064.34;1060.09;68;1;1;;;;;;1606706;Pórtico Lafaiete : 
939.57;PORT00104-0;Pórtico Jeceaba;MT-L-39247;;-20.5829759536;-43.9706757617;939.57;935.32;0;1;1;;;;;;1606707;Pórtico Jeceaba : 
961.143;ESTR12395-0;ESTRUTURA 136B;MT-L-39247;;-20.5746219198;-43.9608500269;919.865;915.575;10;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606708;ESTRUTURA 136B : 
972.319;ESTR12396-8;ESTRUTURA 137B;MT-L-39247;;-20.5767323268;-43.9560440187;954.47;950.19;11;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606709;ESTRUTURA 137B : 
958.77;ESTR12397-6;ESTRUTURA 138B;MT-L-39247;;-20.5765653128;-43.9539723697;926.788;922.508;12;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606710;ESTRUTURA 138B : 
956.618;ESTR12398-4;ESTRUTURA 139B;MT-L-39247;;-20.5761059247;-43.9483188461;937.405;933.115;13;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606711;ESTRUTURA 139B : 
986.673;ESTR12399-2;ESTRUTURA 140B;MT-L-39247;;-20.5763484944;-43.9431921667;942.644;938.354;14;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606712;ESTRUTURA 140B : 
989.94;ESTR12400-8;ESTRUTURA 141B;MT-L-39247;;-20.5766420918;-43.9369949892;963.836;959.546;15;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606713;ESTRUTURA 141B : 
1000.769;ESTR12401-6;ESTRUTURA 142B;MT-L-39247;;-20.5767414807;-43.9348779669;970.131;965.841;16;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606714;ESTRUTURA 142B : 
937.334;ESTR12402-4;ESTRUTURA 143B;MT-L-39247;;-20.5769908417;-43.9296080059;911.305;907.005;17;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606715;ESTRUTURA 143B : 
954.863;ESTR12403-2;ESTRUTURA 144B;MT-L-39247;;-20.5772308158;-43.924541415;929.019;924.719;18;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606716;ESTRUTURA 144B : 
966.03;ESTR12404-0;ESTRUTURA 145B;MT-L-39247;;-20.5774840576;-43.9191781726;925.091;920.791;19;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606717;ESTRUTURA 145B : 
909.156;ESTR12405-7;ESTRUTURA 146B;MT-L-39247;;-20.5777704519;-43.9130865148;864.413;860.103;20;1;1;VSBS3;Suspensão;Autoportante;Circuito Simples;Horizontal;1606718;ESTRUTURA 146B : 
937.01;ESTR12406-5;ESTRUTURA 147B;MT-L-39247;;-20.5780048172;-43.9081344655;911.541;907.231;21;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606719;ESTRUTURA 147B : 
981.259;ESTR12407-3;ESTRUTURA 148B;MT-L-39247;;-20.5782134993;-43.9036987351;937.729;933.419;22;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606720;ESTRUTURA 148B : 
940.203;ESTR12408-1;ESTRUTURA 149B;MT-L-39247;;-20.5784421983;-43.8988257924;913.415;909.105;23;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606721;ESTRUTURA 149B : 
947.881;ESTR12409-9;ESTRUTURA 150B;MT-L-39247;;-20.5776250013;-43.89200267;918.473;914.153;24;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606722;ESTRUTURA 150B : 
960.166;ESTR12410-7;ESTRUTURA 151B;MT-L-39247;;-20.5772667002;-43.8890050193;926.794;922.474;25;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606723;ESTRUTURA 151B : 
930.753;ESTR12411-5;ESTRUTURA 152B;MT-L-39247;;-20.5769701643;-43.8865803402;911.299;906.969;26;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606724;ESTRUTURA 152B : 
961.292;ESTR12412-3;ESTRUTURA 153B;MT-L-39247;;-20.5749471587;-43.8816281008;917.186;912.846;27;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606725;ESTRUTURA 153B : 
977.908;ESTR12413-1;ESTRUTURA 154B;MT-L-39247;;-20.5742332545;-43.8798950879;959.333;954.993;28;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606726;ESTRUTURA 154B : 
1002.598;ESTR12414-9;ESTRUTURA 155B;MT-L-39247;;-20.5742478297;-43.8776901057;962.651;958.311;29;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606727;ESTRUTURA 155B : 
1016.28;ESTR12415-6;ESTRUTURA 156B;MT-L-39247;;-20.5742986607;-43.8703275196;971.53;967.19;30;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606728;ESTRUTURA 156B : 
1003.595;ESTR12416-4;ESTRUTURA 157B;MT-L-39247;;-20.5742971355;-43.8647071923;966.633;962.293;31;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606729;ESTRUTURA 157B : 
1000.02;ESTR12417-2;ESTRUTURA 158B;MT-L-39247;;-20.5743292676;-43.8591273384;963.206;958.866;32;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606730;ESTRUTURA 158B : 
1032.307;ESTR12418-0;ESTRUTURA 159B;MT-L-39247;;-20.5744451872;-43.8545271851;1009.709;1005.369;33;1;1;VSBA30;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606731;ESTRUTURA 159B : 
1011.704;ESTR12419-8;ESTRUTURA 160B;MT-L-39247;;-20.5734609001;-43.849842877;970.386;966.046;34;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606732;ESTRUTURA 160B : 
1008.383;ESTR12420-6;ESTRUTURA 161B;MT-L-39247;;-20.5730334551;-43.847580473;977.178;972.838;35;1;1;VSBF90;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606733;ESTRUTURA 161B : 
968.763;ESTR12421-4;ESTRUTURA 162B;MT-L-39247;;-20.5699455891;-43.8447715966;945.575;941.225;36;1;1;VSBF90;Ancoragem;Autoportante;Circuito Simples;Horizontal;1606734;ESTRUTURA 162B : 
994.597;ESTR12422-2;ESTRUTURA 163B;MT-L-39247;;-20.5701034063;-43.8431694242;968.075;963.725;37;1;1;VSBE3;Suspensão;Estaiada;Circuito Simples;Horizontal;1606735;ESTRUTURA 163B : 
